Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Estado Verificación,Periodo,(+/-) Ganancia (pérdida),(+/-) Ajustes por gastos por impuestos a las ganancias,( + ) Ajustes por gastos de depreciación y amortización,(+/-) Ajustes por deterioro de valor (reversiones de pérdidas por deterioro de valor) reconocidas en el resultado del periodo,(+) Ajustes por provisiones,(+) Ajustes por costos financieros,(+/-) Ajustes por pérdidas (ganancias) de moneda extranjera no realizadas,(+/-) Ajustes por pérdidas (ganancias) del valor razonable,(-) Ajustes por ganancias no distribuidas de asociadas,(+/-) Ajustes por pérdidas (ganancias) por la disposición de activos no corrientes,(+/-) Otros ajustes para conciliar la ganancia (pérdida),Total ajustes para conciliar la ganancia (pérdida),(+/-) Ajustes por disminuciones (incrementos) en los inventarios,(+/-) Ajustes por la disminución (incremento) de cuentas por cobrar de origen comercial,(+/-) Ajustes por disminuciones (incrementos) en otras cuentas por cobrar derivadas de las actividades de operación,(+/-) Ajustes por el incremento (disminución) de cuentas por pagar de origen comercial,(+/-) Ajustes por incrementos (disminuciones) en otras cuentas por pagar derivadas de las actividades de operación,(+/-) Otras entradas (salidas) de efectivo,Flujos de efectivo netos procedentes de (utilizados en) actividades de operación,(+) Flujos de efectivo procedentes de la pérdida de control de subsidiarias u otros negocios,(-) Flujos de efectivo utilizados para obtener el control de subsidiarias u otros negocios,(+) Otros cobros por la venta de patrimonio o instrumentos de deuda de otras entidades,(-) Otros pagos para adquirir patrimonio o instrumentos de deuda de otras entidades,(+) Otros cobros por la venta de participaciones en negocios conjuntos,(-) Otros pagos para adquirir participaciones en negocios conjuntos,"(+) Importes procedentes de la venta de propiedades, planta y equipo","(-) Compras de propiedades, planta y equipo",(+) Importes procedentes de ventas de activos intangibles,(-) Compras de activos intangibles,(+) Recursos por ventas de otros activos a largo plazo,(-) Compras de otros activos a largo plazo,(-) Anticipos de efectivo y préstamos concedidos a terceros,(+) Cobros procedentes del reembolso de anticipos  y préstamos concedidos a terceros,"(-) Pagos derivados de contratos de futuro, a término, de opciones y de permuta financiera","(+) Cobros procedentes de contratos de futuro, a término, de opciones y de permuta financiera",(+) Dividendos recibidos,(+) Intereses recibidos,(+/-) Otras entradas (salidas) de efectivo,Flujos de efectivo netos procedentes de (utilizados en) actividades de inversión,(+) Importes procedentes de aumento de capital y/o recolocación de acciones,(-) Disminución de capital social y/o readquisición de acciones,(-) Pagos por otras participaciones en el patrimonio,(+) Importe procedente del aumento prima por emisión,(-) Disminución de prima por emisión,(+) Importes procedentes de préstamos,(-) Reembolsos de préstamos,(-) Pagos de pasivos por arrendamientos financieros,(-) Dividendos pagados,(-) Intereses pagados,(+/-) Otras entradas (salidas) de efectivo,Flujos de efectivo netos procedentes de (utilizados en) actividades de financiación,"Incremento (disminución) neto de efectivo y equivalentes al efectivo, antes del efecto de los cambios en la tasa de cambio",(+/-) Efectos de la variación en la tasa de cambio sobre el efectivo y equivalentes al efectivo,Incremento (disminución) neto de efectivo y equivalentes al efectivo,Efectivo y equivalentes al efectivo al principio del periodo,Efectivo y equivalentes al efectivo al final del periodo
149895,860076008,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,4344763,,3396350,404438,,1548770,,-143039,,,1770413,6976932,3468,-669145,,-392,-3882330,,6773296,,,,,,,,110345,,,,,,,,,,,,-110345,,,,,,9577879,16303273,,,,,-6725394,-62443,,-62443,902851,840408
149935,900357074,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,118277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563766,532633
150001,804006377,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-43844,63042,40898,38619,,,,-4744,,109857,-985,246687,-66813,-55769,688,-89319,35257,57776,84663,,,,,,,86358,26234,,,,,,,,,,,,60124,,,,,,,140195,,,,,-140195,4592,,4592,60628,65220
150044,900185065,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-263769,61328,,,,,,,,,,61328,,925861,916639,-237610,,,1402449,,,,,,,,,,,,1398368,,,,,,,,-1398368,,,,,,,,,,,,,4081,,4081,90081,94162
150047,900385903,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-397548,173254,,,,,,,,,251079,424333,,-34002,,7217,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0
150056,900186312,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,41732,,,,,,,,,,22519,22519,,,,,,-900697,-836446,,,,,,,,1353593,,,,,,,,,,,,-1353593,,,,,,,,,,,2214778,2214778,24739,,24739,53386,78125
150087,900761148,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,176485,98397,65703,,,,,,,,,164100,,131519,,-76759,,-115789,279556,,,,,,,,303941,,,,,,,,,,,,-303941,,,,,,,,,,,,,-24385,,-24385,4144933,4120548
150093,890917119,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-217681,,,,,,,,,,-174024,-174024,-2669675,1998501,-121920,63962,-455762,1,-1576598,2614264,,,,,,1462787,49738,,,,,,,,,,,,4027313,,,2091845,,,,,,,,,-2091845,358870,,358870,75440,434310
150112,800002818,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-11956365,0,115665,0,11548436,310381,0,0,0,0,-176619,11797863,0,-1271996,0,-1118629,0,2204504,-344623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486538,486538,0,0,0,0,0,0,0,0,0,0,-171807,-171807,-29892,,-29892,34644,4752
150130,890312374,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-2744104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642758,364608
150143,901151772,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,721219,,719,,,,,,,,,719,286935,-205810,-578413,-384415,-3044753,,-3204518,,,,,,,,1069,,,,,,361426,,,,,,360357,,,,,,2116428,,,,,,2116428,-727733,,-727733,2531536,1803803
150169,900371613,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,603912,,,,,,,,,,,,-12624,160025,-717941,184481,48670,,266523,,,,,,,,,,,,,,,,,,,,,,,,,,,91679,,,,,-91679,174844,,174844,3206,178050
150173,891801415,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,73332,,835605,,,,,,,,,835605,,-523681,285863,47138,-9996,,708261,,,,,,,,,,,,,,,,,,,,,,,,,,,692152,,,,,-692152,16109,,16109,32409,48518
150175,800129316,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,82453,,49794,9565,,,,,,,-6845,52514,,88603,-468,875,40367,,264344,,,,,,,,4282,,,,,,,,,,,-250000,-254282,,,,,,,9773,,,,,-9773,289,,289,80984,81273
150184,804014274,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-197151,16831,10493,,,,,,,,,27324,,7508,404687,-23994,,-77526,140848,,,,,,,,,,,,,,,,,,,,,,,,,,,121389,,,,,-121389,19459,,19459,11711,31170
150192,900619657,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,41312,,,,,,,,,,,,,1563642,,-1653401,,163757,115310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115310,,115310,569168,684478
150195,800194752,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,223823,58686,290469,,,,,,,,,349155,,-191826,-1440000,,-203278,,-1262126,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,-1262126,,-1262126,2731270,1469144
150288,900267689,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,463842,233398,,,,,,,,,,233398,,-402717,,-328323,,-27927,-61727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61727,,-61727,61814,87
150296,860072491,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,332849,31316,,,,,,-314029,,,33509,-249204,,-738259,,-77508,-104787,,-836909,,,,,,,,,,,,,,,,,,,,,80000,,,,,,,,,,,80000,-756909,,-756909,2664222,1907313
150301,860528096,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-272454,6975,109717,,,,,-105911,,,289796,300577,,395216,,-211742,9692,,221289,,,,,,,159266,209030,,,,,,,,,,,,-49764,,,,,,,,,,,,,171525,,171525,75816,247341
150311,900365409,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1275035,642130,53689,0,,-204515,,,,,,491304,546237,-59654,80043,-1206240,-666730,,459995,,,,,,,,11217,,48862,,,,,,,,,,-60079,,,,,,,273597,,,,,-273597,126319,,126319,104028,230347
150381,830138169,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,709380,6674,,,,,,,,,-874082,-867408,,,1978,64,,-167236,-323222,,,,,,,,,,,,,,,,,212648,,,212648,,,,,,,,,,,,,-110574,,-110574,593534,482960
150394,830080611,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-286376,,50667,,,,,,,,,50667,,-2106489,,1729088,,-60783,-673893,,,,,,,630903,,,,,,,,,,,,-101334,529569,,,,,,,,,,,,,-144324,,-144324,226730,82406
150404,860027143,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,49339,3155,1134,,,,,-110975,,,113142,6456,,-151434,,-30000,34084,,-91555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91555,,-91555,195521,103966
150411,830506608,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,283442,,406289,,,,,,,,130589,536878,,-160930,,-1707822,,,-1048432,,,,,,,,,,,,,,,,,,,1058188,1058188,,,,,,,,,77935,,,-77935,-68179,,-68179,1169982,1101803
150415,860072492,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-163124,30347,,,,,,-23062,,,-43095,-35810,,-271584,,450000,-24508,,-45026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45026,,-45026,1498405,1453379
150452,860521601,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1838588,812196,434635,106050,,,,,,,-1152413,200468,-863560,738491,0,-84459,,,1829528,,,,,,,,1456478,,151700,,,,,,,,,,-1608178,1000000,0,0,,0,216792,810000,626140,0,0,75000,-144348,77002,0,77002,328806,405808
150586,860067949,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,84107,16651,,,,,,-62236,,,-24503,-70088,,,3608,-8290,,,9337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9337,,9337,206666,216003
150643,891904303,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,302831,,42767,,,,,,,,,42767,-34652,-37025,-39903,,27627,,261645,,,,,,,,26757,,,,,,,,,,,1538,-25219,,,,,,76551,,,262351,,26235,-159565,76861,,76861,808887,885748
150687,900470587,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,201852,,104037,,,,,,,,,104037,,57040,-645775,,360427,-76241,1340,,,,,,,,,,,,,,,,,,,-8566,-8566,,,,,,,,,,,,,-7226,,-7226,1186926,1179700
150700,832002204,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,735138,,39556,66249,,,,,,,,105805,-255518,1174572,-73172,-1497657,-133442,,55726,,,,,,,46659,,,,,,,,,,,,,46659,,,,,,1044522,1079517,,,,,-34995,67390,,67390,324379,391769
150791,830047411,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3116103,1180377,1838897,,,,,,,,,3019274,-478351,-332976,,-87553,-606204,,4630293,,,,,,,143537,1400575,,,,,,,,,,,,-1257038,,,,,,,,,3900000,,,-3900000,-526745,,-526745,1645371,1118626
150830,900438410,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1282304,,31539,,,,-64732,,886556,,,-919749,,-13,,123152,,-803120,-317426,,,,,,,,,,,,,,,,,298782,,,298782,,,,,,,,,,,,,-18644,,-18644,45258,26614
150839,800207932,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1829128,813572,849543,0,126825,0,0,0,0,0,0,1789940,-571212,-3046352,593953,17365,152261,-46211,718872,0,0,0,0,0,0,88659,238949,0,0,0,0,0,0,0,0,0,0,0,-150290,0,0,0,0,0,0,0,0,0,0,0,0,568582,0,568582,7429,576011
150841,805001306,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1222660,498028,30986,,,,,,,,,529014,-134409,-83332,-134913,532540,-1352831,-207580,371149,,,,,,,34958,25467,,,,,,,,,,,,9491,,,,,,619689,786496,,,12960,,-179767,200873,,200873,84951,285824
150843,900062979,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1312668,,804921,838119,737985,,,,480893,,-20299,1879833,-301739,295565,361089,829598,-1482330,625934,3520618,,,,,,,,1821924,,165350,,1743371,,,,,,,171615,-3559030,,,,,,,,,,,331953,331953,293541,,293541,717180,1010721
150866,860402618,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,705497,372469,340674,,89179,,,,16028,,-192345,593949,155375,-249872,,225491,,-1410838,19602,,,,,,,380000,25148,,,,,,,,,,,,354852,,,,,,800000,,,,,-1551097,-751097,-376643,,-376643,565527,188884
150873,819005874,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1939456,,31479,,,,,,,,-422723,-391244,-34499,-101746,1460525,-50924,468743,,3290311,,,,,,,,1350,,,,,1995216,14873,,,,,,-1981693,,,,,,4739,155251,,,,,-150512,1158106,,1158106,2764,1160870
150892,860350005,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,10531261,,972102,,,,,,,,-8716289,-7744187,,-10521688,,0,-5073257,,-12807871,,,,,,,1161279,,,,,,,,,,,,12287192,13448471,,,,,,,,,360000,,,-360000,280600,,280600,263256,543856
150940,830146669,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,174826,,,,,-114447,,,,,,-114447,-295908,-7615,,-46947,125121,,-164970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-164970,,-164970,476812,311842
150962,900770027,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2344171,87237,149574,0,0,0,0,0,0,0,0,236811,0,-172602,50268,-125835,0,0,2332813,0,2093708,0,0,0,0,0,16029,0,0,0,0,0,0,0,0,0,0,0,-2109737,0,0,0,0,0,130000,342072,0,0,0,0,-212072,11004,0,11004,22174,33178
150974,811024630,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-437106,,55629,,,,,,,,400403,456032,-3114178,23197,-310568,4101426,772420,,1491223,111011,,,,,,,,,,,,,,,,,,,111011,,,,,,,,,,,1812869,1812869,3415103,,3415103,41252,3456355
150979,900328866,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,55769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106338,1397819
151166,830119208,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,72060,128021,,,,,,,173447,,,-45426,,,-225712,,-1153611,,-1352689,,,,,,,1664622,,,,,,,,,,,,,1664622,,,,,,,,,,,,,311933,,311933,26445,338378
151168,830119224,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-20143,30884,,,25110,,,,,,,55994,,154732,,,-70777,,119806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65612,65612,185418,,185418,200818,386236
151172,900525002,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-275303,,,,,,,,,,,-251400,,928987,,-2174676,-9993040,4307351,-7458081,7457979,,,,,,,,,,,,,,,,,,,7457979,,,,,,,,,,,,-47609,-47711,,-47711,54047,6336
151187,830127783,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-2536070,-634669,3100,,,,65710,,,3961408,-1807427,1588122,-410,1072068,799219,279347,-468306,-141728,592242,,,,,,,,3558693,2072463,,,,,1089495,,,1180078,,,783343,,,,,,,1044404,,,,,-1044404,331181,,331181,884358,1215539
151202,824006708,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-1090756,,709200,241995,628134,,,,,,,1579329,208499,2731518,211577,-2212947,209953,97159,1734332,,,,,,208657,,463285,,,,1141390,,,,,,,,-1813332,,2586364,,,,7293136,3817689,,,,,889083,810083,,810083,10009,820092
151221,890403012,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2423519,0,233946,0,0,0,0,0,0,0,0,233946,0,1077598,-2600079,-6374,992358,4382,2125350,0,0,0,0,0,0,0,128777,0,0,0,0,0,0,0,0,0,0,0,-128777,0,0,0,0,0,0,971674,0,0,0,-1039010,-2010684,-14111,0,-14111,113634,99523
151253,860048210,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-51283,,,,,,,,,,,,,-94759,,,,122751,-23291,,,,,,,,,,,,,,,,,,,22389,22389,,,,,,5000,,,6,,,4994,4092,,4092,59,4151
151308,900076109,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,231803,,801639,,,,,,,,,801639,-186401,331532,136484,-60453,216061,-146021,1324644,,,,,,,,564870,,,,,,,,,,,,-564870,,,,,,,,,,,,,759774,,759774,201963,961737
151313,800068234,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1639688,75941,1516170,206937,,,,,,,-130860,1668188,-70693,3093110,-347490,538825,21641,-600181,5943088,,,,,,,,1523492,,,,175335,,,,,,,,-1698827,,,,,,,1824396,,1000000,,-692374,-3516770,727491,,727491,579614,1307105
151322,900796115,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,171540,,64000,,84490,,,,,,-2543,145947,,-492319,128385,191050,244353,112187,501143,,,,,,,,741379,,,,,,,,,,,1,-741378,100000,,,,,193600,94889,,,,,198711,-41524,,-41524,178797,137273
151332,800210734,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1165831,146956,289757,,,,,,,,-83528,353185,-34497,-3250677,2170876,1831657,,1430540,3666915,,,,208889,,,,1097747,,,,,,,,,,,-176593,-1483229,2770000,,,,,,,,3108818,,-2004419,-2343237,-159551,,-159551,548987,389436
151409,900130852,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3349391,,,,,,,,,,-1009886,-1009886,-465282,233612,-767023,31706,728454,,2100972,,,,,,,,12150,,,,,3235967,,,,,,,-3248117,,,,,,962757,,,,,,962757,-184388,,-184388,528273,343885
151425,900495003,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-32447,-14707,131761,0,0,0,0,0,0,0,-28502,88552,0,-128234,0,198785,77757,-13883,190530,0,0,1511306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511306,0,0,0,0,0,0,0,0,0,0,0,0,1701836,0,1701836,1974,1703810
151505,800043202,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,362845,,882165,,,,,,,,,882165,336533,1179864,64480,-135793,-559975,,2130119,,,,,70000,,,395284,,,,,,,,,,,,-325284,,,,,,2418671,4059925,,,,,-1641254,163581,,163581,290304,453885
151514,890931636,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2303252,-390036,1095326,,,,,,,,,705290,-213095,-4571653,30696,1798623,948607,,1001720,,,,413716,,,,613360,,,,,,,,,,,,-1027076,,,,,,,,,96000,,,-96000,-121356,,-121356,145368,24012
151531,800113011,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-278494,,40104,33367,,,,,,,-6644,66827,3286915,-969430,-604,-481057,560149,672482,2856788,,,,,,,,,,,,,,,,,,,-1377958,-1377958,,,,,,,,,,,-279476,-279476,1199354,,1199354,256120,1455474
151554,860507248,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1014392,,1104603,,35425,,,,,,,1140028,-3955029,798689,-1848230,5974948,1614685,-875154,3864329,,,,,,,190175,1021778,,,,,,,,,,,-434952,-1266555,,,,,,,5567876,,500000,,-367678,-6435554,-3837780,,,5706421,1868641
151578,830512616,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-381665,4592,29457,,,,,,,,60970,95019,,-554467,,313015,,130526,-397572,,,,,,,,24333,,,,,,,,,,,,-24333,,,,,,15707,,,,,,15707,-406198,,-406198,712775,306577
