Ganancia bruta,"Ganancia (pérdida), antes de impuestos",Efectivo y equivalentes al efectivo,Gastos de administración,Total de activos,Total pasivos,Razón de la Deuda/Ingresos (%),Ganancias acumuladas,Ganancia (pérdida),Impago
1031356,987066,1106512,44290,3663053,673780,0.1839394625,1958663,970994,1
1118815,1109877,132251,8938,2449805,431526,0.1761470811,1098279,1106104,1
1241348,-1822161,107896,3662510,56510875,15261641,0.2700655582,12203453,-1887554,0
550956,-961874,314957,1695562,57593466,15852822,0.2752538283,14091007,-4987085,0
0,-2741101,160299,55473,155061979,5908,0.00003810089384,-41822738,-2782328,1
22981,-4873977,5102,75867,141478644,71899,0.0005081968414,-39040410,-4988796,1
0,-42705,702409,32218,2258286,1671701,0.7402521204,-3632198,-46023,0
0,14589,256957,131109,2314332,1681724,0.7266563311,-3586175,3225,1
12386551,6115177,840408,4755421,147775300,27261501,0.1844794157,89696451,4344763,1
12839587,6332324,902851,4882245,150703485,34534449,0.2291549462,89372787,4021099,1
373661,149042,532633,166107,12415710,993751,0.08003980441,10221959,118277,1
189713,-7103,563766,196987,12464657,1069861,0.0858315636,10194796,-150395,1
-771462,57323,65220,241989,9817252,2918451,0.2972777922,3648511,-43844,1
-863112,44937,60628,232630,10001266,3058621,0.3058233828,3698820,6464,1
204666,-223381,94162,341734,14106914,2721180,0.1928969015,10898206,-263769,1
331271,35696,90081,135562,13695954,2046451,0.1494201134,11161975,-66338,1
6799,-224294,0,268070,2562494,1977837,0.7718406365,99657,-397548,0
7700,-382606,0,999931,3080913,2098708,0.6811967751,497205,-162476,0
1708334,64009,78125,1408507,8222522,2866758,0.3486470453,984195,41732,1
2545989,-1781309,53386,1998797,7289516,4212781,0.5779232805,942463,-1897348,0
196851,274882,4120548,469676,20841735,1001994,0.04807632378,4522135,176485,1
177380,309651,4144933,360582,20759402,1096146,0.05280238805,4345650,207695,1
1673589,-255836,434310,1302314,135516988,45860611,0.3384122661,17219131,-217681,1
1693540,20981068,75440,1675260,139063834,47097931,0.3386785021,17436812,17436812,1
0,-12754137,4752,1081450,109541024,36161426,0.3301176553,71165647,-11956365,0
-41089,-8961382,34644,10216981,119725673,34389710,0.2872375585,83122012,-6821382,0
1090867,-2639766,364608,1200516,85626466,17873601,0.2087392115,34952077,-2744104,1
30716126,29256397,642758,1045826,98817249,21110770,0.2136344638,44905691,28977131,1
1642227,1092756,1803803,471319,4219377,3381052,0.8013154549,781615,721219,1
108200,82977,2531536,17345,4810898,4693792,0.9756581827,67106,67106,1
7548125,990935,178050,6251368,15621447,13507848,0.8646988976,-745143,603912,1
2479001,-1349055,3206,3794368,14876063,13366376,0.8985156893,-1349055,-1349055,0
909864,185017,48518,456361,24530320,4297113,0.1751755786,-17362,73332,1
628454,-67184,32409,361985,25111999,4952124,0.1972015051,-90694,-90694,1
1378326,87097,81273,1302332,2454920,142204,0.05792612387,2277846,82453,1
927714,75247,80984,877314,2320096,111203,0.04793034426,2195393,64280,1
0,-180320,31170,135457,14015112,3247586,0.2317203031,7139756,-197151,1
0,89015,11711,124874,14418342,3453665,0.2395327424,7336907,49443,1
426724,41312,684478,105261,2722700,3247146,1.192619826,-3644153,41312,0
550220,469481,569168,228888,4155683,4721441,1.136140798,-3685465,469481,0
1875623,282510,1469144,934583,31363863,11762892,0.3750460203,16622062,223823,0
1869085,53959,2731270,820241,31284632,11907484,0.3806176784,16398239,94664,0
784076,697240,87,92695,14608880,1478944,0.1012359606,12093274,463842,1
515085,263531,61814,260435,14267890,1601796,0.112265794,11645865,164326,1
53945,372451,1907313,229511,17797826,3796534,0.2133144801,1090261,332849,1
-48536,304969,2664222,224273,17454383,3865941,0.2214882646,996166,238754,1
133968,-227526,247341,216280,5443478,2238190,0.4111691092,1118464,-272454,0
221616,-4133190,75816,239259,5464712,1986970,0.3636001312,1390918,-4148288,0
14571785,1917165,230347,3183676,9189925,7683273,0.8360539395,-3567405,1275035,1
16641326,-594007,104028,2747413,9408502,9176886,0.975382266,-4842440,-995310,0
20366,716054,482960,33394,10369447,80796,0.007791736628,9978370,709380,1
25783,303440,593534,25804,9480951,241294,0.02545040049,9268990,295549,1
0,-211500,82406,305844,15630639,10046634,0.6427526092,4382993,-286376,0
634077,-124733,226730,475762,14187928,8317547,0.586241134,4669369,-219809,0
282608,57927,103966,230460,5611891,3040556,0.5418059617,-14084540,49339,0
146547,-208669,195521,71450,5433921,2911925,0.5358791561,-14133879,-220561,0
1182157,331847,1101803,585778,16077993,5241923,0.3260309294,8615517,283442,1
1407816,615806,1169982,504890,17371784,6949745,0.4000593721,8201486,570228,1
30230,-132777,1453379,437551,10680087,1895230,0.177454547,-4028444,-163124,1
1243621,84439,1498405,160111,10397299,1449318,0.1393937022,-3865070,40465,1
14409582,1817616,405808,3875514,23314281,14676855,0.6295220942,2035333,1838588,1
12351073,21622,328806,3632827,21928658,15864076,0.7234403492,218367,21622,1
175449,100758,216003,153669,7937252,49137,0.006190681611,2918047,84107,1
205685,-2070837,206666,183131,7844689,40681,0.005185801502,2833940,-2079310,1
4367315,504270,885748,816438,3460481,1272233,0.3676462896,302831,302831,1
3923595,416655,808887,753005,3329491,1207959,0.3628059064,262351,262351,1
0,315023,1179700,435210,14580089,3102090,0.2127620757,-9753732,201852,1
0,-397962,1186926,859751,14026376,2741663,0.1954648157,-9955584,-481724,1
2315048,1183351,391769,1170681,10588517,5160960,0.4874110322,3975636,735138,1
2280584,1332189,324379,1051111,11519473,6827054,0.5926533271,3240498,875488,1
23785691,4296480,1118626,3840549,15728285,5804372,0.3690403626,9482531,3116103,1
23277513,3997770,1645371,3710139,16025562,5317752,0.3318293611,10266428,2627086,1
829235,1371057,26614,323603,53618332,7341971,0.1369302387,40663609,1282304,1
1988975,1402211,45258,806798,53095496,8030007,0.1512370654,39451896,1366883,1
6855281,2642700,576011,2113270,28460338,18385275,0.6459963687,9575063,1829128,1
3436958,-1411491,7429,2115427,26496314,18250379,0.6887893539,7433993,-1618513,0
5832750,1720688,285824,1927676,8088330,2923954,0.3615028071,4247961,1222660,1
5664096,2305051,84951,1382914,7333425,3425981,0.4671733876,2991029,1504994,1
5653057,2050653,1010721,2247555,25824264,11619492,0.4499447496,8144772,1312668,1
7239983,4042796,717180,2017172,23688406,10796302,0.4557631273,11692104,2495215,1
4484210,1077966,188884,1924581,17781196,11226545,0.6313717592,3141659,705497,0
4697994,1887582,565527,1524517,18612707,12763553,0.6857440457,2436162,1338254,0
3519744,2172611,1160870,1230494,3963026,1505828,0.3799692457,1998698,1939456,1
1481552,486104,2764,937184,2178986,1238522,0.5683937391,901464,325690,1
15688074,11333399,543856,1342852,171913864,600226,0.003491434524,169844292,10531261,1
35066380,32656456,263256,1690311,167882184,5673483,0.0337944317,160739355,31187051,1
2450829,174826,311842,1003540,10140347,4694693,0.462971632,2642593,174826,1
2309721,252131,476812,987284,9853917,4476278,0.4542638222,2574578,252131,1
1039587,2431408,33178,680090,49877770,172432,0.003457091205,5158958,2344171,1
935468,954512,22174,675957,48225589,460070,0.009539956059,2905823,910359,1
0,-17069,3456355,411593,14862697,25847493,1.739084972,-13630945,-437106,1
0,-219304,41252,151508,8950165,21310725,2.381042696,-15006708,-556381,0
744542,95048,1397819,639503,2078765,789986,0.3800266023,834029,55769,1
1042885,80630,1106338,890011,1579494,352680,0.2232866981,778260,17701,1
15074,92218,338378,94418,75037817,392798,0.005234667208,72805849,72060,1
319955,276972,26445,80438,75991346,1418387,0.01866511221,72972677,238888,1
78531,7760,386236,86153,79286123,504039,0.006357215877,75523833,-20143,1
392715,289008,200818,71662,79408396,606169,0.007633563081,75837225,293249,1
0,-113233,6336,15910,102719611,38685278,0.376610441,63934333,-275303,1
0,-63476,54047,41039,104325685,36803803,0.3527779664,67421882,-63476,1
142840,-3170739,1215539,716395,76333344,14710068,0.1927082875,48810837,-2536070,1
501297,250522,884358,1021323,81354795,16398609,0.2015690532,54512788,571582,1
3992386,-948425,820092,4082990,25424847,16552315,0.6510290898,2432602,-1090756,0
4316993,350796,10009,3410408,27154938,14493287,0.5337256524,3778859,143501,0
6160038,3416038,99523,2946481,15109025,4124410,0.2729765819,6889177,2423519,1
5944252,3169286,113634,2792015,13405849,4844753,0.3613909869,4678063,2124055,1
0,-19998,4151,91071,8637061,217726,0.02520834344,5603819,-51283,1
0,-1019924,59,577686,8669643,199025,0.02295653927,5655102,-1069636,1
3008172,430508,961737,1175670,22980919,15086186,0.6564657401,6246560,231803,0
2703554,-633442,201963,741019,22655036,14992106,0.6617559999,6014757,-841484,0
18129936,2202903,1307105,3396939,22784270,11804245,0.5180874788,3538230,1639688,1
15393580,2331674,579614,3054387,24005507,13684607,0.5700611531,3075799,1772563,1
1390430,256030,137273,0,2046375,1066773,0.5212988822,358796,171540,1
890477,208867,178797,0,1059236,351175,0.331536126,208061,138580,1
2677328,1312787,389436,1080970,37393660,25918777,0.6931329268,2592635,1165831,1
3441750,1109189,548987,1032802,35132278,26094110,0.7427389138,2096600,669796,0
4651318,3610667,343885,968653,6071843,2525640,0.4159593718,3488962,3349391,1
1192734,1104193,528273,58917,2009421,802723,0.3994797506,1155227,1067464,1
138335,-47195,1703810,379071,10657334,3729979,0.3499917522,6909355,-32447,0
375057,75817,1974,422190,10453720,3493920,0.3342274329,6941800,44384,0
2681203,570736,453885,1162999,15689278,4605802,0.2935636681,1219567,362845,1
3642500,709580,290304,1044243,17663458,6942825,0.3930614832,900547,438231,1
4456796,3131245,24012,2164971,31812229,14695054,0.4619309763,15617175,2303252,1
3568394,1041212,145368,1948476,27237752,12327829,0.452600824,13409923,362981,1
2182604,-239521,1455474,1328476,5788216,2452599,0.4237227844,-12750,-278494,1
3155196,-1103218,256120,1372262,6364275,2744795,0.4312816464,271113,-1192275,1
13829732,2647809,1868641,8499211,65780198,44119709,0.6707141411,13860237,1014392,1
12444881,2210469,5706421,7989077,63588194,42375086,0.66639864,13508184,953277,1
1271794,-373640,306577,1594759,2104260,1508139,0.7167075361,-979070,-381665,0
1678606,381354,712775,1091072,2084874,1107088,0.5310095478,-597405,382559,1
2174201,408358,715404,1772345,17167636,12164341,0.7085623787,-7562512,181116,1
-963226,-3727627,1299572,3490547,9941600,6206899,0.6243360224,-7698224,-3782624,0
3760256,3281834,2644500,595813,11621757,466063,0.0401026282,3972861,3211070,1
3014476,2938275,2143551,600628,10701937,465116,0.0434609174,3331627,2776388,1
11109512,840153,294131,4143095,10031185,7849550,0.7825147278,236947,360642,0
9924542,92450,597754,3967479,9608057,7799718,0.8117893139,-136349,-163661,0
1772116,342836,565960,776855,7250211,6970630,0.9614382257,75540,180475,0
1618285,60753,661757,756425,6699732,6600626,0.985207468,-104935,30380,0
16704150,3440009,1088760,6167446,163333080,91704459,0.5614567423,16088725,2233450,1
15304589,3585859,1307707,7114907,134082490,71338641,0.5320503893,14292595,2407768,1
21518415,13292564,8624116,10288240,31351015,6946689,0.2215778022,10945751,9711885,1
12731237,5389239,5176244,8615288,26552855,9400413,0.3540264503,4094000,3946011,1
5403292,3517314,726333,880089,129763255,74609123,0.5749634055,7747226,3342062,0
6802736,3031644,910554,616218,124437087,76646645,0.6159469564,4685766,2806020,0
863310,-769546,443567,1262336,43732306,6433137,0.1471026248,27808913,-1111466,1
932226,6725407,8421,1323243,43192382,4781747,0.1107081105,28920379,6190217,1
417040,256665,145314,68104,14834175,13909317,0.9376535601,824858,164630,1
406801,125120,120952,69059,11293881,10533653,0.9326867354,660228,68046,1
2568385,299867,79923,1093352,4857409,4430520,0.9121159038,-73111,168951,0
1891193,-203140,2775,1137729,4190179,3932241,0.9384422479,-242062,-237896,0
2471344,1673758,854806,1429507,17280729,2348623,0.1359099492,13501414,1351956,1
3672075,2553554,491903,1726091,14699208,3896533,0.2650845542,9371983,1844054,1
40514478,190966,2806052,39857542,26245089,4746553,0.180854902,1912713,121407,1
42988240,874190,4370809,41408914,26329813,4421448,0.1679255375,2381568,590262,1
396109,153655,17176,163259,5606769,2215414,0.395132027,3255916,107622,0
0,110703,65323,103431,5552524,2268791,0.4086053478,3148294,85276,0
258384,-79938,2537,63445,10046376,1546936,0.1539795046,6781958,-79938,1
580739,374157,2537,61078,13200245,567433,0.04298655063,10915330,339848,1
7879006,4977533,211006,2275625,17358144,9524044,0.5486787067,5634100,4879684,1
5520880,2289459,774782,2355885,12582409,8391993,0.666962344,1990416,2190670,1
11831,1395572,618,147130,36361557,3560,0.00009790559849,19176187,1366817,1
31242,8397291,0,68456,35002008,10828,0.0003093536805,17809370,8328424,1
24661470,4212686,7342671,6596482,118420283,81904577,0.6916431453,23098103,3360429,1
21621957,1597937,8783060,4993029,110312791,75225216,0.6819265048,21774628,629841,1
504968,173698,65621,284218,12340747,3714085,0.3009611169,549003,110915,1
520311,203810,495295,291018,12282652,3519246,0.286521673,438088,122975,1
0,-660003,35016,17259,12969560,996447,0.07682966886,2726923,-660889,1
0,-603175,5809,10527,13797353,1211568,0.0878116259,3387812,-718614,1
3082023,311839,1448242,734825,146144274,98939775,0.6770006945,12974358,2084642,0
4134022,1561390,1294782,845522,150016413,104896556,0.6992338632,9485979,-1403737,0
18174519,10339679,102336,4618455,574384658,79655840,0.1386803058,412641705,10803179,1
13431401,10189550,1213370,1210501,565941726,82981341,0.1466252393,411459925,9621399,1
622703,124702001,23804750,342808,146972576,13917271,0.09469297864,127574625,112079570,1
635747,4136206,394864,369772,30287078,6126389,0.202277321,10009790,3559360,1
3617548,692604,443802,873338,47688972,28553014,0.5987341057,9258642,251161,0
2158420,9170365,1394695,696460,75905798,58011319,0.7642541219,8785122,8028577,1
0,-7148,456,7148,40000074,35974,0.0008993483362,-36400,-7335,1
0,-7521,456,7521,40000019,28425,0.0007106246625,-28906,-7812,1
0,-27905,11,9568,252529908,275964,0.001092797294,252244266,-27925,1
0,-21342,11882,10671,56255953,310220,0.005514438623,55936055,-21562,1
5362274,-209598,292502,3458793,11092112,4551423,0.410329701,-2839311,-264648,1
3265897,35044,213387,3043201,10881096,4075759,0.3745724695,-2574663,-77317,1
5235370,2760,198036,696035,5056939,3275119,0.6476485083,154077,-5563,0
4932561,-141866,178972,709219,4981944,3194561,0.6412278018,159640,-180363,0
6674831,3234279,650075,4208420,22350370,11717824,0.524278748,9832546,2257144,1
4706339,2065386,2080211,3837843,17604742,9002293,0.5113561448,7802449,1411029,1
1691388,24379,312615,2071615,33790038,15126692,0.4476672089,722092,67439,0
1925385,-991805,60063,1643914,35294422,16698516,0.4731205401,2640216,-951933,0
15946793,9913709,4515501,4752742,17648114,5260366,0.2980695841,11646852,9074185,1
8382948,5359950,2754528,2644785,24336736,9522223,0.3912695195,14257349,4914669,1
9859797,5930567,260342,2464993,291984443,31302502,0.107206061,-567193,5867860,1
11315962,30999787,550975,2394232,211718771,39867657,0.1883047819,24453221,30813639,1
4037440,1580348,4212351,1338922,15714446,9058823,0.5764646746,4855237,1111549,1
2790340,654447,2958604,1087273,12187055,6282981,0.5155454702,4104346,402983,1
1415264,443672,1050391,397034,16882826,1080568,0.06400397659,11282519,297656,1
1491018,464251,2322324,343947,16563631,1077331,0.06504195849,11051530,306651,1
14012431,3735185,734682,3058897,51746838,33186395,0.6413221809,9739137,2824510,1
12418576,1969576,802671,2865932,48083592,32847660,0.6831365677,7051491,1368648,0
826910,162523,319700,598864,4029458,2616026,0.6492252804,278931,79277,1
223089,-537711,239475,674135,3347051,1850557,0.5528917844,199654,-558228,1
6128782,1431167,290752,2524033,5827862,4139429,0.7102826045,1188433,886906,1
2707268,950145,1305110,910230,5236257,4034729,0.7705368549,701528,608158,1
92870198,-4989323,24020288,23620107,251706999,107802920,0.4282873358,53735917,-6310137,1
95797801,3105352,19638853,23602720,253191529,102977313,0.4067170549,58106848,-1939205,1
2040060,2884530,758088,1113255,21567028,2876509,0.1333753079,18600519,2774573,1
1445142,-151427,63737,1661611,19815847,3759058,0.1896995874,15966789,-221661,1
13270864,9757737,2844481,3127251,55148880,9847711,0.1785659292,14185203,8852585,1
1011762,-2668182,102478,3114488,40249159,9548247,0.2372284847,5420555,-2327050,1
4185372,26377535,14419797,4127139,205608205,24629446,0.1197882448,41690696,26465814,1
5180253,29731368,7392231,3391706,180917915,23055475,0.1274361082,42922778,26572861,1
1994524,-463372,98138,2858150,71325397,24034076,0.3369637886,46926154,-476987,1
2057441,-264695,669926,2504815,71786496,24018188,0.33457808,47403141,125975,1
9240194,2013961,1965147,4151491,54559661,45518320,0.8342852424,3641341,2001795,0
7584574,1689946,1915513,3639441,52447541,45407995,0.8657792936,1639546,1583770,0
297156,141908,44789,159019,10178769,8790639,0.8636249629,684029,50133,1
225820,116445,118271,91340,11862691,10524694,0.8872096559,639289,53350,1
27330,27383,4045,0,1216042,717957,0.5904047722,168085,6599,1
60803,33127,4045,0,1982154,1490668,0.752044493,161486,24908,1
1201293,450156,658945,609679,5200532,2390984,0.4597575786,1781647,289576,1
1296916,305734,166243,828581,6191516,3671544,0.5929959642,1511154,190828,1
1608309,1391799,1964688,280071,11469857,1502491,0.1309947456,7785689,1467706,1
1536392,1394463,830641,264107,9996618,1496958,0.1497464442,6317983,1288010,1
570860,3018411,33895,371815,84273633,6796932,0.0806531267,40163023,2994310,1
531507,1381005,15673,295998,83062670,8580279,0.1032988586,37168713,1282544,1
23981552,3153065,342308,3016150,55726041,34408913,0.6174655939,8595339,2185711,0
23674223,3627721,58458,2334581,53483205,36249618,0.6777757242,7822917,2430573,0
3614715,954932,2447178,831454,10694617,1121542,0.1048697677,629700,629700,1
3768324,805670,1653049,922702,11157810,2214435,0.1984650214,525380,525380,1
865148,100187,53571,450324,17157677,6063039,0.353371788,6571714,50312,1
902265,404086,47752,452156,17327109,5904608,0.3407728318,6840131,322920,1
51991,3593648,9396209,585348,87966892,5551276,0.06310642418,43300684,2722918,1
52233,1456413,7931174,780674,88004004,6965203,0.07914643293,41477387,1010556,1
140666,81823,0,122536,10668078,3006738,0.281844396,109618,53887,1
67974,5836,1096499,135321,10528974,2918889,0.2772244475,58363,-53945,1
0,1021824,0,23662,41144066,40930,0.0009947971598,2890725,1021777,1
0,1869200,0,17711,40099241,17840,0.0004448962014,1868990,1869091,1
1919476,1412557,522424,287274,6111776,1868761,0.3057639874,1661138,924241,1
385048,193184,236734,237766,2483174,664400,0.2675607911,818774,134580,1
1831712,230637,164362,717096,12825507,9583353,0.7472104612,1800135,-53508,1
2682778,981778,303819,580059,10864372,7726442,0.7111724451,1888431,345203,1
0,5263815,1551,33284,36389906,13525310,0.3716775196,14782099,5249806,1
0,2589576,1551,35792,28243818,10629028,0.376331132,9532293,2551877,1
2884844,403009,1023440,2625701,5633735,4307025,0.7645061402,276710,227399,0
2929817,592755,27640,2549875,5507974,3916735,0.7111026668,541239,344575,1
8519003,680863,1419190,1924233,12160763,6009647,0.4941833831,4270270,562007,1
7289261,814092,1450139,1674725,12105460,6222757,0.5140454803,4008263,741421,1
9534857,450874,3004285,3636175,49889099,11439151,0.2292915933,34052488,179227,1
8044041,4713942,839700,3151916,49579774,9831444,0.1982954581,35350870,4038320,1
3983743,-1441729,162046,850422,102323972,67929865,0.6638704858,14894589,-1451519,0
6747604,497445,191461,1490257,100227568,64381942,0.6423576196,16346108,333288,0
758752,365512,1226150,321822,3642531,2477685,0.6802097223,708754,235011,1
731448,414341,172512,282184,1584387,654552,0.4131263385,499164,300719,1
9134438,7282222,809405,3419612,24473519,10386643,0.4244033316,12900726,5234984,1
8630275,6427754,955480,3156363,21369687,9267795,0.4336888509,10915742,4055280,1
4725000,4669981,0,34856,18148528,11170,0.0006154769136,9376894,4657644,1
4725000,4763326,0,35172,13519332,39618,0.002930470233,4719250,4750678,1
7750512,4961479,7816582,2731434,26773201,13697798,0.5116234701,9535363,2433497,1
7930451,4788803,9384446,2720510,20073527,9448918,0.4707153855,7084569,1900341,1
3932597,2131431,873362,1546296,79312534,20588068,0.2595815184,-7313339,1614320,1
5285072,3028910,1114239,1777850,81459805,25089829,0.3080025664,-8927659,2473373,1
0,-25351,37963,40930,6072682,10382,0.001709623524,1781453,-30397,1
0,-2221574,93956,51249,6100248,7551,0.001237818528,1811850,-2223192,1
369948,1842596,1926550,528045,62029406,6284610,0.1013166239,17343307,1584165,1
349686,283047,3694768,503501,60334478,6354853,0.1053270569,15599242,-159900,1
480244,83462,82549,323761,6022686,3257890,0.5409363862,2217110,40659,0
415949,90388,94798,272743,5709531,2985394,0.5228790246,2182097,56457,0
1097819,234029,448314,776837,4571818,1637334,0.3581363038,1722367,149464,1
2125702,664765,140779,1382957,5459706,2749486,0.5035959812,1498103,609129,1
960429,915438,1197408,54631,3528655,1768497,0.5011816117,1752503,453925,1
880242,817074,2202957,55954,3903634,1094471,0.2803723402,2801508,484443,1
265820,4767926,543038,201419,23349368,653515,0.02798855198,21102920,4699743,1
242777,1844078,945237,237601,18978695,982586,0.05177310663,16403176,1790226,1
219700,-233821,124518,0,11302888,10870175,0.9617165984,232713,-199609,1
88335,30543,563296,0,8470712,7846471,0.9263059587,424241,-134716,1
125773,-198898,184859,319949,8804129,7392687,0.8396840846,-2194560,-198898,1
265387,20232,82970,237206,8976317,7366174,0.8206232021,-1995662,20232,1
14257123,3366479,2066874,3556604,39431954,22603906,0.573238293,15294876,2140015,1
12030920,3142028,2071183,1920760,32206647,17851945,0.5542938077,12821530,1984978,1
1477833,1155654,1749,812956,11089399,3488114,0.3145449091,4249859,757478,1
1328021,680288,46668,514231,10772403,3928596,0.3646907751,3549893,575120,1
10284414,4735534,2369922,3231663,37587914,20070214,0.5339539193,6887446,3177249,0
10585959,5654426,1377374,3001843,31170867,16830416,0.5399405798,7620983,3910754,0
3853316,-748285,3663507,4377336,95879078,31679112,0.3304069319,59806510,-914287,1
3507799,-128646,5428814,3374439,99811006,34646340,0.3471194349,60771210,-647541,1
2014983,2515303,31657,116679,106288617,350178,0.003294595507,87956155,2254013,1
1933586,2085689,117747,123941,104983571,240145,0.002287453148,86761142,1892959,1
4724657,296998,101133,1246806,8925833,5422274,0.6074810049,11889,127450,0
4351688,289413,87849,1165171,8997208,5788139,0.6433261296,-46258,139386,0
0,-378858,9340,16488,681597,1126271,1.652400172,-719684,-378858,0
-80755,-174126,8946,68661,1092673,1158489,1.06023394,-340826,-174126,0
1908895,-2913595,8016064,120848,49263220,11427230,0.2319627097,36230968,-3362712,1
65511,39658363,136476,38919,42465915,1267372,0.0298444529,39686745,39449137,1
256189426,34714228,3190780,24356910,588165366,263943251,0.4487568739,100620490,25757136,1
238532569,23912398,8005963,23046026,501105517,215973736,0.4309945284,90945030,16081676,0
-662769,-1736466,575957,1174889,19541434,1868784,0.09563187635,5259194,-1833565,1
-125333,-461257,1326997,236635,23979722,4473507,0.1865537474,7092759,-461257,1
1534057,2153530,1056652,140933,108001512,435385,0.004031286155,89248777,1968901,1
1434218,2071768,1220208,104459,107090115,401678,0.003750841056,88371087,1844978,1
67490348,14888879,15538814,36198575,65515647,31267697,0.4772554105,21096860,9429114,1
45803550,6566637,7023614,32068888,53237297,26406584,0.4960166178,15250320,4230816,1
1825826,-52592,123686,1031757,11103996,6158847,0.5546514066,-67451,-67451,1
1731704,18312,337573,959795,11291749,6203045,0.5493431531,-2444,-2444,1
1220567,463125,54144,713058,15421998,9383278,0.6084346529,-2576374,353915,0
1089353,131114,50747,698779,15207272,9522467,0.6261785151,-2930289,80920,0
3281986,1290884,114251,2210934,27735335,1671676,0.06027242865,14528726,1144525,1
3300367,1312628,115300,1925730,28020265,1135203,0.04051364254,15458965,1112080,1
240021,218991,225351,21307,15913968,52506,0.003299365689,1204521,179002,1
1293675,1420746,1957190,62065,16660391,161336,0.00968380634,1995128,1389920,1
339101,310249,196,77289,20762490,3830759,0.1845038336,15961076,228791,1
383477,428179,88106,96970,19603975,2842443,0.1449931965,15732285,355455,1
0,-47323,37489,48719,6172255,418013,0.06772451883,1741914,-51629,1
0,-2241437,33615,63125,6166535,360664,0.05848730284,1793543,-2243150,1
3408562,627093,234752,2460786,4423843,1525316,0.3447943338,2050737,648585,1
3106854,510607,296996,393089,4091079,1060499,0.2592223225,1453288,467911,1
4706922,-5217979,920352,9491670,116443238,78425887,0.6735117328,-45459226,-5363313,0
1556474,-9614807,1273698,11001600,104883993,75782472,0.7225361071,-40095913,-9903006,0
4010854,8798806,5944,606372,156910012,22151,0.0001411700867,16045695,8702750,1
2915518,5735261,4444,640569,151517953,139469,0.0009204783805,12915516,5572571,1
26580153,6431295,3006421,21603654,25843767,17601897,0.6810886741,7866855,4958476,1
22999966,2014478,1331785,21040717,24860448,19689025,0.7919819064,4796408,1888029,0
0,-15759,0,15759,15344234,1258624,0.08202586066,1747723,-33730,1
0,-19788,0,16114,14971746,852406,0.05693430813,1781453,-58005,1
1057539,2219765,10933,196070,38444035,17458,0.000454114663,3959137,2193162,1
699369,1441434,7389,200775,37073602,73650,0.001986588732,3162346,1396371,1
7261720,4583487,18115913,429954,216837411,73600328,0.3394263364,94390292,4451461,1
7582756,23730502,15631283,417619,223315813,84169918,0.3769097981,92202810,22639796,1
6703636,-495958,928331,2085248,38078556,16227296,0.4261531346,9533921,-754429,1
7294031,701162,452419,1689106,36166043,13560354,0.3749471293,10288350,-375834,1
122661,101971,513836,82094,8782738,982742,0.1118947189,5989010,89438,1
961835,935891,762340,56161,8220384,714038,0.08686187896,5936439,915046,1
4091131,8887942,3890,611735,157988227,552583,0.003497621377,16118081,8788597,1
2944410,5725585,8333,643380,152488665,648245,0.004251102861,12882062,5552578,1
0,3077885,67589,121473,18326343,5988740,0.3267831449,3641683,2848670,1
0,2242986,6363,125960,18292176,7966406,0.4355089302,1629850,1673969,0
2120523,368676,919781,1265899,24530234,9746226,0.3973148401,3227846,367598,1
3053769,1963834,704282,1686609,26029989,11039343,0.4241009476,3596181,1968574,1
2591608,1165961,144007,1478869,29132427,418074,0.01435081258,10788017,972214,1
