Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Estado Verificación,Periodo,Ingresos de actividades ordinarias,Costo de ventas,Ganancia bruta,Otros ingresos,Gastos de ventas,Gastos de administración,Otros gastos,Otras ganancias (pérdidas),Ganancia (pérdida) por actividades de operación,Ingresos financieros,Costos financieros,"Participación en las ganancias (pérdidas) de subsidiarias, asociadas y negocios conjuntos que se contabilicen utilizando el método de la participación","Ganancia (pérdida), antes de impuestos",Ingreso (gasto) por impuestos,Ganancia (pérdida) procedente de operaciones continuadas,Ganancia (pérdida) procedente de operaciones discontinuadas,Ganancia (pérdida)
149455,813001526,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2267117,953500,1313617,67101,268,959474,25086,,395890,,,,86294979,134543,86160436,,86160436
149556,890905893,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,66427246,48619172,17808074,2952702,11228958,4072710,3333122,,2125986,37905,372842,,2074820,672307,1402513,,1402513
149556,890905893,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,61894269,44493734,17400535,1753986,10445275,3967867,2084952,,2656427,61510,282717,,2497576,1220459,1277117,,1277117
149609,891100247,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2199431,235400,1964031,886023,120588,1857233,67962,,804271,735081,144380,,6365798,80147,6285651,,6285651
149609,891100247,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,38563953,32149754,6414199,2091885,3519296,2648594,47046,,2291148,445817,274377,,2462588,363083,2099505,,2099505
149671,900673310,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,10905816,9944846,960970,0,,152282,,,808688,23275,26009,,805954,289925,516029,,516029
149671,900673310,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,3472965,3006174,466791,0,,95959,,,370832,4125,69804,,305153,114596,190557,,190557
149708,900233101,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,174903488,118138968,56764520,2053956,19738249,10987981,1838982,,26253264,,13657596,,12595668,4906915,7688753,,7688753
149708,900233101,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,179499350,118465163,61034187,1155966,22281064,10520396,845110,,28543583,,11677751,,16865832,2396163,14469669,,14469669
149753,901135250,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1031356,,1031356,0,,44290,,,987066,,,,987066,,987066,-16072,970994
149753,901135250,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1118815,,1118815,0,,8938,,,1109877,,,,1109877,,1109877,-3773,1106104
149761,800243310,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1840000,598652,1241348,1058442,0,3662510,303942,,-1666662,0,155499,,-1822161,65393,-1887554,,-1887554
149761,800243310,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1301600,750644,550956,284059,0,1695562,94022,,-954569,0,7305,,-961874,4025211,-4987085,,-4987085
149764,900120377,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,,0,21,,55473,72947,,-128399,289376,26584,,-2741101,41227,-2782328,,-2782328
149764,900120377,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,22981,,22981,1,,75867,1519,,-54404,148453,203687,,-4873977,114819,-4988796,,-4988796
149858,900444217,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,,0,22570,0,32218,31953,,-41601,0,1104,,-42705,3318,-46023,0,-46023
149858,900444217,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,0,,0,180655,0,131109,55462,,-5916,21454,949,,14589,11364,3225,0,3225
149895,860076008,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,20001532,7614981,12386551,229888,123229,4755421,1622612,,6115177,,,,6115177,1770414,4344763,,4344763
149895,860076008,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,19706413,6866826,12839587,682653,,4882245,116449,,8523546,,2191222,,6332324,2311225,4021099,,4021099
149935,900357074,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,373661,,373661,0,0,166107,2272,0,205282,890,57130,,149042,30765,118277,,118277
149935,900357074,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,189713,,189713,0,0,196987,31117,0,-38391,31288,0,,-7103,143292,-150395,,-150395
150001,804006377,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1998818,2770280,-771462,54526,,241989,37688,1196560,199947,2202,34969,,57323,101167,-43844,,-43844
150001,804006377,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2077607,2940719,-863112,53129,,232630,54522,1204927,107792,2243,16855,,44937,38473,6464,,6464
150044,900185065,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,697666,493000,204666,26386,103467,341734,9232,,-223381,,,,-223381,40388,-263769,,-263769
150044,900185065,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,882891,551620,331271,140,42541,135562,117612,,35696,,,,35696,102034,-66338,,-66338
150047,900385903,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,6799,,6799,1599,,268070,,,-259672,37307,1929,,-224294,173254,-397548,,-397548
150047,900385903,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,7700,,7700,652819,,999931,38090,,-377502,18653,23757,,-382606,-220130,-162476,,-162476
150056,900186312,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3115284,1406950,1708334,33456,,1408507,,,333283,,269274,,64009,22277,41732,,41732
150056,900186312,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,5599118,3053129,2545989,940108,,1998797,,,1487300,,3268609,,-1781309,116039,-1897348,,-1897348
150087,900761148,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,196851,,196851,210228,,469676,29370,,-91967,368588,1739,,274882,98397,176485,,176485
150087,900761148,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,177380,,177380,48799,,360582,3694,,-138097,449101,1353,,309651,101956,207695,,207695
150093,890917119,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2314476,640887,1673589,63566,,1302314,669507,,-234666,,21170,,-255836,-38155,-217681,,-217681
150093,890917119,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2295542,602002,1693540,21081966,,1675260,77379,,21022867,,41799,,20981068,3544256,17436812,,17436812
150112,800002818,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,0,0,1047230,0,1081450,348707,-144656,-527583,1065950,946296,,-12754137,-797772,-11956365,0,-11956365
150112,800002818,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,27269,68358,-41089,4783089,0,10216981,663448,,-6138429,1039082,3862035,,-8961382,-2140000,-6821382,0,-6821382
150130,890312374,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1090867,0,1090867,12430,0,1200516,1471630,,-1568849,573016,1643933,,-2639766,104338,-2744104,,-2744104
150130,890312374,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,30716126,0,30716126,352511,0,1045826,974551,,29048260,221141,13004,,29256397,279266,28977131,,28977131
150143,901151772,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,13224986,11582759,1642227,0,,471319,78180,,1092728,28,,,1092756,371537,721219,,721219
150143,901151772,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,794188,685988,108200,0,,17345,7878,,82977,,,,82977,15871,67106,,67106
150169,900371613,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,20752098,13203973,7548125,48227,,6251368,13312,,1331672,145,340882,,990935,387023,603912,,603912
150169,900371613,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,9582730,7103729,2479001,176291,,3794368,20638,,-1159714,2161,191502,,-1349055,,-1349055,,-1349055
150173,891801415,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1763788,853924,909864,6201,,456361,10454,,449250,,264233,,185017,111685,73332,,73332
150173,891801415,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1473873,845419,628454,176,,361985,3719,,262926,,330110,,-67184,23510,-90694,,-90694
150175,800129316,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1378326,,1378326,62741,,1302332,43499,,95236,4042,12181,,87097,4644,82453,,82453
150175,800129316,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,927714,,927714,55347,,877314,8206,,97541,,22294,,75247,10967,64280,,64280
150184,804014274,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,0,0,0,0,135457,58975,0,-194432,14112,0,,-180320,16831,-197151,,-197151
150184,804014274,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,0,0,0,208590,0,124874,6679,0,77037,14062,2084,,89015,39572,49443,,49443
150192,900619657,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,681146,254422,426724,1843,,105261,320752,,2554,47286,8528,,41312,,41312,,41312
150192,900619657,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,550220,,550220,229447,,228888,52039,,498740,11550,40809,,469481,,469481,,469481
150195,800194752,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1875623,,1875623,78,653742,934583,18229,,269147,145315,131952,,282510,58687,223823,0,223823
150195,800194752,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1869085,,1869085,5361,746634,820241,177567,,130004,62652,138697,,53959,-40705,94664,0,94664
150288,900267689,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,784076,,784076,4,,92695,2162,,689223,8019,2,,697240,233398,463842,,463842
150288,900267689,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,515085,,515085,527,,260435,2933,,252244,12031,744,,263531,99205,164326,,164326
150296,860072491,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,53945,,53945,395701,,229511,115892,,104243,268208,,,372451,39602,332849,,332849
150296,860072491,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1234055,1282591,-48536,536030,,224273,160623,,102598,202371,,,304969,66215,238754,,238754
150301,860528096,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,133968,,133968,107390,,216280,252604,,-227526,,,,-227526,44928,-272454,,-272454
150301,860528096,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,221616,,221616,542147,,239259,4657694,,-4133190,,,,-4133190,15098,-4148288,,-4148288
150311,900365409,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,28916660,14344875,14571785,529464,9512107,3183676,499125,,1906341,10824,,,1917165,642130,1275035,,1275035
150311,900365409,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,27424495,10783169,16641326,70639,12574586,2747413,758875,,631091,,1225098,,-594007,401303,-995310,,-995310
150381,830138169,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,20366,,20366,0,,33394,145000,,-158028,,,,716054,6674,709380,,709380
150381,830138169,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,25783,,25783,0,,25804,,,-21,,,,303440,7891,295549,,295549
150394,830080611,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,,0,305807,,305844,227254,,-227291,16246,455,,-211500,74876,-286376,,-286376
150394,830080611,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,634077,,634077,61313,,475762,96362,,123266,16812,264811,,-124733,95076,-219809,,-219809
150404,860027143,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,282608,,282608,116149,,230460,110370,,57927,,,,57927,8588,49339,,49339
150404,860027143,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,146547,,146547,104735,,71450,388501,,-208669,,,,-208669,11892,-220561,,-220561
150411,830506608,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1182157,,1182157,59387,,585778,135987,,519779,,187932,,331847,48405,283442,,283442
150411,830506608,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1407816,,1407816,0,,504890,72701,,830225,,214419,,615806,45578,570228,,570228
150415,860072492,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,30230,,30230,65890,,437551,105485,,-446916,289470,,,-132777,30347,-163124,,-163124
150415,860072492,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1243621,,1243621,447292,1282591,160111,163772,,84439,,,,84439,43974,40465,,40465
150452,860521601,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,28871260,14461678,14409582,2547045,7273675,3875514,4675011,0,1132427,0,0,,1817616,-20972,1838588,0,1838588
150452,860521601,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,25318484,12967411,12351073,679590,6866764,3632827,2741417,231967,21622,0,0,,21622,0,21622,0,21622
150586,860067949,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,175449,,175449,99924,,153669,7676,,114028,,87,,100758,16651,84107,,84107
150586,860067949,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,205685,,205685,249566,,183131,3646,,268474,,84,,-2070837,8473,-2079310,,-2079310
150643,891904303,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,6745183,2377868,4367315,53257,3040237,816438,59627,0,504270,,,,504270,201439,302831,,302831
150643,891904303,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,5941167,2017572,3923595,68495,2771050,753005,51380,,416655,,,,416655,154304,262351,,262351
150687,900470587,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,,0,606,,435210,49788,,-484392,810851,11436,,315023,113171,201852,,201852
150687,900470587,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,0,,0,0,,859751,7161,,-866912,469012,62,,-397962,83762,-481724,,-481724
150700,832002204,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,16098039,13782991,2315048,112012,28743,1170681,28058,,1199578,16100,32327,,1183351,448213,735138,,735138
150700,832002204,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,17590186,15309602,2280584,123619,19083,1051111,3855,,1330154,42607,40572,,1332189,456701,875488,,875488
150791,830047411,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,37744174,13958483,23785691,2137087,17560254,3840549,25577,,4496398,,199918,,4296480,1180377,3116103,,3116103
150791,830047411,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,37119484,13841971,23277513,1784473,17111349,3710139,4786,,4235712,,237942,,3997770,1370684,2627086,,2627086
150830,900438410,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,829235,,829235,0,,323603,,,505632,471433,492564,,1371057,88753,1282304,,1282304
150830,900438410,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1988975,,1988975,120,,806798,,559147,1741444,159501,498734,,1402211,35328,1366883,,1366883
150839,800207932,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,68415940,61560659,6855281,784798,1613032,2113270,857946,0,3055831,0,413131,,2642700,813572,1829128,0,1829128
150839,800207932,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,33285286,29848328,3436958,202705,1815157,2115427,812428,,-1103349,0,308142,,-1411491,207022,-1618513,0,-1618513
150841,805001306,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,10058634,4225884,5832750,822847,2266864,1927676,229318,,2231739,2134,687435,,1720688,498028,1222660,,1222660
150841,805001306,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,9073732,3409636,5664096,632399,1972734,1382914,111611,,2829236,6788,670384,,2305051,800057,1504994,,1504994
150843,900062979,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,26561894,20908837,5653057,0,499669,2247555,1912790,771081,1764124,190725,213476,,2050653,737985,1312668,,1312668
150843,900062979,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,25813714,18573731,7239983,328345,320907,2017172,1447332,,3782917,289389,253932,,4042796,1547581,2495215,,2495215
150866,860402618,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,16628516,12144306,4484210,25503,1241137,1924581,25900,230745,1548840,207,487109,,1077966,372469,705497,,705497
150866,860402618,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,16378449,11680455,4697994,74156,1165840,1524517,27916,-27504,2026373,10392,585406,,1887582,549328,1338254,,1338254
150873,819005874,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,9992508,6472764,3519744,455,,1230494,117094,,2172611,,,,2172611,233155,1939456,,1939456
150873,819005874,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,5455839,3974287,1481552,0,4238,937184,54026,,486104,,,,486104,160414,325690,,325690
150892,860350005,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,15688074,0,15688074,0,0,1342852,3011823,,11333399,0,0,,11333399,802138,10531261,,10531261
150892,860350005,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,35066380,0,35066380,0,0,1690311,719613,,32656456,0,0,,32656456,1469405,31187051,0,31187051
150940,830146669,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,10446783,7995954,2450829,5592,552821,1003540,725234,,174826,0,,,174826,,174826,,174826
150940,830146669,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,8829223,6519502,2309721,9727,527466,987284,552567,,252131,0,,,252131,,252131,,252131
150962,900770027,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1039587,0,1039587,0,0,680090,0,,359497,29,21826,,2431408,87237,2344171,0,2344171
150962,900770027,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,935468,0,935468,0,0,675957,0,3,259514,160,57319,,954512,44153,910359,0,910359
150974,811024630,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,,0,550247,,411593,134400,,4254,,21323,,-17069,420037,-437106,,-437106
150974,811024630,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,0,,0,16271,,151508,79756,,-214993,,4311,,-219304,337077,-556381,,-556381
150979,900328866,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1628260,883718,744542,16409,0,639503,9084,0,112364,12477,29793,,95048,39279,55769,0,55769
150979,900328866,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2146875,1103990,1042885,57078,0,890011,59025,,150927,31782,102079,,80630,62929,17701,0,17701
151166,830119208,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,15074,,15074,0,,94418,1887,173449,92218,,,,92218,20158,72060,,72060
151166,830119208,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,319955,,319955,38402,,80438,947,,276972,,,,276972,38084,238888,,238888
151168,830119224,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,78531,,78531,87346,,86153,71964,,7760,0,,,7760,27903,-20143,,-20143
151168,830119224,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,392715,,392715,8932,,71662,,,329985,,40977,,289008,-4241,293249,,293249
151172,900525002,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,0,0,0,,15910,,,-15910,,97323,,-113233,162070,-275303,,-275303
151172,900525002,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,0,0,0,0,,41039,,,-41039,,22437,,-63476,,-63476,,-63476
151187,830127783,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,142840,,142840,909834,,716395,7523870,,-7187591,83565,530673,,-3170739,-634669,-2536070,,-2536070
151187,830127783,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,501297,,501297,149,,1021323,41015,,-560892,181502,1318884,,250522,-321060,571582,,571582
151202,824006708,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,44793056,40800670,3992386,77035,,4082990,95091,,-108660,53686,893451,,-948425,142331,-1090756,,-1090756
151202,824006708,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,47247271,42930278,4316993,436976,,3410408,236953,,1106608,104660,860472,,350796,207295,143501,,143501
151221,890403012,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,22143663,15983625,6160038,1210977,92258,2946481,916238,,3416038,0,0,,3416038,992519,2423519,0,2423519
151221,890403012,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,21719366,15775114,5944252,982894,110439,2792015,855406,,3169286,0,0,,3169286,1045231,2124055,0,2124055
151253,860048210,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,0,0,11459,0,91071,2223,61837,-19998,,,,-19998,31285,-51283,,-51283
151253,860048210,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,0,0,0,38790,0,577686,42425,-438603,-1019924,,,,-1019924,49712,-1069636,,-1069636
151308,900076109,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,16846304,13838132,3008172,57410,1071023,1175670,84059,,734830,,304322,,430508,198705,231803,,231803
151308,900076109,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,17148838,14445284,2703554,27472,763344,741019,1114483,,112180,,745622,,-633442,208042,-841484,,-841484
151313,800068234,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,35023467,16893531,18129936,382703,10442748,3396939,1746669,,2926283,133072,856452,,2202903,563215,1639688,,1639688
151313,800068234,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,33234313,17840733,15393580,498849,8239667,3054387,1696635,,2901740,418620,988686,,2331674,559111,1772563,,1772563
151322,900796115,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2200829,810399,1390430,7105,1121148,,20357,,256030,,,,256030,84490,171540,,171540
151322,900796115,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1481591,591114,890477,29513,694793,,16330,,208867,,,,208867,70287,138580,,138580
151332,800210734,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,25152056,22474728,2677328,4753044,3528745,1080970,1507870,,1312787,,,,1312787,146956,1165831,,1165831
151332,800210734,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,23899352,20457602,3441750,2934530,3033759,1032802,1200530,,1109189,,,,1109189,439393,669796,,669796
151409,900130852,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,11843223,7191905,4651318,707,,968653,72831,,3610541,126,,,3610667,,3610667,-261276,3349391
151409,900130852,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,3242853,2050119,1192734,99,,58917,29723,,1104193,,,,1104193,,1104193,-36729,1067464
151425,900495003,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,138335,0,138335,2566,0,379071,20401,,-258571,211379,3,,-47195,-14748,-32447,0,-32447
151425,900495003,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,375057,0,375057,42274,0,422190,15000,,-19859,95693,17,,75817,31433,44384,0,44384
151505,800043202,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,16562348,13881145,2681203,61760,564451,1162999,444777,,570736,,,,570736,207891,362845,,362845
151505,800043202,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,20780232,17137732,3642500,78563,1379269,1044243,587971,,709580,,,,709580,271349,438231,,438231
151514,890931636,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,25684521,21227725,4456796,585374,595710,2164971,184434,1445491,3542546,4855,416156,,3131245,827993,2303252,,2303252
151514,890931636,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,21716415,18148021,3568394,350937,519292,1948476,111578,45222,1385207,340,344335,,1041212,678231,362981,,362981
151531,800113011,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,6029815,3847211,2182604,1178591,1923860,1328476,62436,,46423,98611,384555,,-239521,38973,-278494,,-278494
151531,800113011,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,7081446,3926250,3155196,215560,2667718,1372262,158501,,-827725,90712,366205,,-1103218,89057,-1192275,,-1192275
151554,860507248,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,124019281,110189549,13829732,675407,0,8499211,2101983,,3903945,726949,2547250,,2647809,1633417,1014392,0,1014392
151554,860507248,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,105854256,93409375,12444881,683643,0,7989077,762762,244031,4620716,501323,2911570,,2210469,1257192,953277,0,953277
151578,830512616,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,6592328,5320534,1271794,219130,,1594759,208835,,-312670,,,,-373640,8025,-381665,,-381665
151578,830512616,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,7216085,5537479,1678606,167765,,1091072,373945,,381354,,,,381354,-1205,382559,,382559
151597,900370025,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,16617743,14443542,2174201,776491,,1772345,,,1178347,61222,831211,,408358,227242,181116,,181116
151597,900370025,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1889922,2853148,-963226,1247170,,3490547,475470,,-3682073,20954,66508,,-3727627,54997,-3782624,,-3782624
