Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente","Activos biológicos corrientes, al costo menos depreciación acumulada y deterioro de valor","Activos biológicos corrientes, al valor razonable",Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,"Propiedades, planta y equipo",Propiedades de inversión al costo menos depreciación acumulada y deterioro,Propiedades de inversión a valor razonable con cambios en resultados,Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones en subsidiarias,Inversiones en asociadas,Inversiones en negocios conjuntos,"Activos biológicos no corrientes, al costo menos depreciación acumulada y deterioro del valor","Activos biológicos no corrientes, al valor razonable",Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Préstamos corrientes,Parte corriente de préstamos no corrientes,Otros pasivos no financieros corrientes,Total pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Parte no corriente de préstamos no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Patrimonio total,Total de patrimonio y pasivos
148400,891903403,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,4382145,3162116,4491111,1218987,,,,26766,,,,13281125,14906496,,,,0,,,,,,,,,,112193,,,15018689,28299814,,,,3896937,,6084083,6084083,,,,,9981020,,,,2384113,,,86170,86170,,2470283,12451303,1901000,206475,,,390772,10177252,422271,2750741,15848511,28299814
148400,891903403,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,4270594,5034267,9914439,1823352,,,,48640,,,,21091292,13819301,,,,4360,,,,,,,,,,69712,,,13893373,34984665,,,,6884374,,10066880,10066880,,,,,16951254,,,,2584113,,,53681,53681,,2637794,19589048,1901000,206475,,,390772,10225112,366250,2306008,15395617,34984665
149455,813001526,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,163085,2915916,,,,,,,,,,3079001,7020784,,,,,96877510,,,,,676464,,,,,,,104574758,107653759,36987,,36987,332006,55561,3478,3478,,,,,428032,,,,219601,,,,,,219601,647633,5100000,,,,,270323,2550000,99085803,107006126,107653759
149455,813001526,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,113889,8799992,,,,,,,,,,8913881,7009804,,,,,87620256,,,,,687162,,,,,,,95317222,104231103,22824,,22824,1815285,27432,199695,199695,,,,,2065236,,,,4461087,,,,,,4461087,6526323,5100000,,,,,270323,599073,91735384,97704780,104231103
149556,890905893,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,1624378,15971459,10604163,,,,42109,,,,,28242109,7085318,,,,,3084892,,,,,,,151760,,16813,,,10338783,38580892,,,,11533231,866129,,,,,,,12399360,,,,,994269,,5334722,,,6328991,18728351,127725,2025500,,,,,12645307,5054009,19852541,38580892
149556,890905893,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,1301341,15177565,7771230,,,,84413,,,,,24334549,7274329,,,,,2893026,,,,,,,112516,,80620,,,10360491,34695040,,,,11268582,874120,,,,,,,12142702,,,,,948673,,3153637,,,4102310,16245012,127725,2025500,,,,,11368189,4928614,18450028,34695040
149609,891100247,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,114667,5642776,,,,,16139089,,,,,21896532,6079650,,,,,,,,,,,,,,42309449,,,48389099,70285631,72421,,72421,845635,163189,,,,46551,,,1127796,,,,,,,,,,,1127796,820251,,,,12140426,2904529,1696645,51595984,69157835,70285631
149609,891100247,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,2967571,10193728,1211866,,,,5342514,,,,,19715679,5817959,,,,,,,,,,,,,,40857533,,,46675492,66391171,107955,315526,423481,667112,1939475,3616,3616,,488502,,,3522186,,,,,,,,,,,3522186,820251,,,,12137227,2904529,1696645,45310333,62868985,66391171
149671,900673310,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,1872882,4330909,345558,,,,,,,,,6549349,3313,3974568,,,,,,,,,,,,,,,,3977881,10527230,,,,,229792,,,,,,,229792,,7797022,7797022,,10180,,,,610406,8417608,8647400,400000,,,,,,88791,1391039,1879830,10527230
149671,900673310,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,40990,795404,,,,,,,,,,836394,4422,4101434,,,,,,,,,,,,,,,,4105856,4942250,,,,,98124,539573,,539573,,,,637697,,1681747,1681747,,,,1259005,1259005,,2940752,3578449,400000,,,,,,77484,886317,1363801,4942250
149708,900233101,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,2917417,23446294,30381868,,,,8000,,,,,56753579,187675227,,,,7443436,216048,,,,,,,10052853,,,,,205387564,262141143,1167002,561900,1728902,13350743,7966947,9681205,9681205,,7909338,,,40637135,,,,,21155241,,101517004,,,122672245,163309380,5692727,43610750,,,,,16360378,33167908,98831763,262141143
149708,900233101,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,4003281,17149000,38767941,,,,8000,,,,,59928222,184587080,,,,7847250,245573,,,,,,,10350174,,,,,203030077,262958299,1176730,562000,1738730,14489845,7611105,11256185,11256185,,430712,,,35526577,,,,,18526330,,117762381,,,136288711,171815288,5692727,43610750,,,,,16360378,25479156,91143011,262958299
149753,901135250,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,1106512,12162,,,,,,,,,,1118674,,437434,,,,,911945,,,,,,,,1195000,,,2544379,3663053,,,,29623,10157,634000,634000,,,,,673780,,,,,,,,,,,673780,920000,,,,,,110610,1958663,2989273,3663053
149753,901135250,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,132251,605609,,,,,,,,,,737860,,,,,,,911945,,,,,,,,800000,,,1711945,2449805,,,,48,2478,429000,429000,,,,,431526,,,,,,,,,,,431526,920000,,,,,,,1098279,2018279,2449805
149761,800243310,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,107896,554735,,342099,,,,79279,,,,1084009,52460251,,,,,,,,,,1727599,0,1239016,,,,,55426866,56510875,44886,,44886,9931,9569129,,,,339724,,,9963670,,,,2815621,2482350,,,,,5297971,15261641,835000,2131007,0,0,26052380,0,27394,12203453,41249234,56510875
149761,800243310,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,314957,409353,,250501,,,,0,,,,974811,50062879,,,,,,,,,,5284411,196719,1074646,,,,,56618655,57593466,31053,,31053,16250,9176383,,,,535395,,,9759081,,,,3725301,2368440,,,,,6093741,15852822,835000,2131007,0,0,24656236,0,27394,14091007,41740644,57593466
149764,900120377,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,160299,40864,,44960,,,,,,,,246123,,,,,,,,,,,59381,152058811,,,2697664,,,154815856,155061979,,,,4559,1349,,,,,,,5908,,,,,,,,,,,5908,148882,100478313,,,96251614,,,-41822738,155056071,155061979
149764,900120377,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,5102,26406,,0,,,,,,,,31508,,,,,,137521561,,,,,12844,,,,3912731,,,141447136,141478644,,,,6402,65497,,,,,,,71899,,,,,,,,,,,71899,148882,100478313,,,79819960,,,-39040410,141406745,141478644
149858,900444217,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,702409,1256039,0,140017,0,0,0,42724,,,,2141189,0,0,0,0,0,,,0,0,0,117097,0,0,0,0,0,,117097,2258286,0,20243,20243,902731,3970,0,0,0,744757,,0,1671701,0,0,0,0,0,0,0,0,0,0,1671701,300000,3918783,0,0,0,0,0,-3632198,586585,2258286
149858,900444217,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,256957,1752210,0,145344,0,0,0,42724,,,,2197235,0,0,0,0,0,,,0,0,0,117097,0,0,0,0,0,,117097,2314332,0,0,0,924986,11981,0,0,0,744757,,0,1681724,0,0,0,0,0,0,0,0,0,0,1681724,300000,3918783,0,0,0,0,0,-3586175,632608,2314332
149895,860076008,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,840408,3318661,51221,,,,,,,,,4210290,100822774,,4376170,,,,35096140,,,,3187416,,82510,,,,,143565010,147775300,276772,,276772,522328,2134487,9897264,,9897264,88101,,,12918952,,20000,20000,,7790049,,6532500,6532500,,14342549,27261501,691000,4500771,,,,,25625577,89696451,120513799,147775300
149895,860076008,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,902851,4328227,54689,,,,4475,,,,,5290242,104108778,,4233132,,,,35096140,,,,1913143,,62050,,,,,145413243,150703485,,,,3213618,,13935558,,13935558,,,,17149176,,,,,,,17385273,17385273,,17385273,34534449,691000,4500771,,,,,21604478,89372787,116169036,150703485
149935,900357074,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,532633,287370,,,,,,2917773,,,,3737776,325228,7224900,1127806,,,,,,,,,,,,,,,8677934,12415710,2406,,2406,16297,31,475668,475668,0,18828,,,513230,,,,480521,,,,,,480521,993751,800000,,,,,,400000,10221959,11421959,12415710
149935,900357074,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,563766,86143,,,,,,2965718,,,,3615627,325228,7395996,1127806,,,,,,,,,,,,,,,8849030,12464657,16480,,16480,14415,5230,639999,639999,0,20750,,,696874,,,,372987,,,,,,372987,1069861,800000,,,,,,400000,10194796,11394796,12464657
150001,804006377,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,65220,250362,1542813,44132,,,,,,,,1902527,1263916,,1489749,,,,307218,,,4599687,,,254155,,,,,7914725,9817252,56779,,56779,415285,12897,67516,2516,65000,22227,,,574704,,,,,2096437,,195000,,52310,2343747,2918451,65000,1143854,,,,97815,1943621,3648511,6898801,9817252
150001,804006377,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,60628,194593,1475999,44820,,,,,,,,1776040,1357712,,1489749,,778,,340164,,,4715936,,,320887,,,,,8225226,10001266,49665,,49665,504605,6981,9739,9739,,,,,570990,,,,127506,2100125,,260000,,,2487631,3058621,65000,1143854,,,,97815,1937156,3698820,6942645,10001266
150044,900185065,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,94162,1020406,,,,,,30000,,,,1144568,499416,12462930,,,,,,,,,,,,,,,,12962346,14106914,,,,,,16626,16626,,2464429,,,2481055,,,,,,,,,240125,240125,2721180,460000,,,,,,27528,10898206,11385734,14106914
150044,900185065,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,90081,1946267,,,,,,30000,,,,2066348,1053744,10575862,,,,,,,,,,,,,,,,11629606,13695954,,,,,,105569,105569,,1936582,,,2042151,,,,,,,,,4300,4300,2046451,460000,,,,,,27528,11161975,11649503,13695954
150047,900385903,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,0,224918,,13248,,,,,,,,238166,,,,,,,,,,,,,63169,,,2261159,,2324328,2562494,,,,288141,29531,242573,242573,,,,,560245,,,,1402219,15373,,,,,1417592,1977837,485000,,,,,,,99657,584657,2562494
150047,900385903,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,0,623170,,14019,,,,,,,,637189,,,223100,,,,,,,,,,365983,,,1728641,,2443724,3080913,,,,266879,48167,242573,242573,,1394666,,,1952285,,,,,146423,,,,,146423,2098708,485000,,,,,,,497205,982205,3080913
150056,900186312,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,78125,568825,,,,,,,,,,646950,4020300,,,,,,,,,,,,,3555272,,,,7575572,8222522,865,,865,48019,,,,,94249,,,143133,,,,715633,,,229849,229849,1778143,2723625,2866758,890000,,,,3153586,,327983,984195,5355764,8222522
150056,900186312,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,53386,493626,,,,,520525,,,,,1067537,5090012,,,,,,900,,,,,,,1131067,,,,6221979,7289516,938,,938,50640,,,,,19852,,,71430,,,,1997531,,,334342,334342,1809478,4141351,4212781,890000,,,,938809,,305463,942463,3076735,7289516
150087,900761148,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,4120548,74580,,,,,,,,,,4195128,2257081,,,,,,,,,,1187477,,14220,,13187829,,,16646607,20841735,22792,,22792,2594,94146,,,,,,,119532,,,,474358,408104,,,,,882462,1001994,925334,14034127,,,,,358145,4522135,19839741,20841735
150087,900761148,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,4144933,70467,,,,,,,,,,4215400,2018843,,,,,,,,,,1323110,,14220,,13187829,,,16544002,20759402,19964,,19964,1550,114366,,,,,,,135880,,,,477470,432796,,,,50000,960266,1096146,925334,14034127,,,,,358145,4345650,19663256,20759402
150093,890917119,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,434310,53077,2669675,231779,,581220,,4836,,,,3974897,54969533,,,540,,,11462295,,,33489201,25973329,,5647193,,,,,131542091,135516988,62576,,62576,36704,154235,,,,107640,,,361155,,,,30575853,14923603,,,,,45499456,45860611,2400200,2151269,,,67834892,,50885,17219131,89656377,135516988
150093,890917119,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,75440,86356,,115235,,581220,,,,,,858251,56432319,,,,,,14076559,,,33489201,27938550,,6268954,,,,,138205583,139063834,79794,,79794,197830,394294,,,,306125,,,978043,,,,30350765,15769123,,,,,46119888,47097931,2400200,2151269,,,69926737,,50885,17436812,91965903,139063834
150112,800002818,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,4752,12750,0,276420,0,0,13018,12328,,,,319268,2774745,0,10894660,0,951232,31567172,13198175,,0,0,18457984,0,8865782,243659,0,22268347,,109221756,109541024,99521,0,99521,29712029,5283126,1843,1843,0,0,,0,35096519,0,0,0,0,840368,0,0,0,224539,1064907,36161426,1403951,0,0,0,0,0,810000,71165647,73379598,109541024
150112,800002818,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,34644,547823,0,221645,0,0,0,21537,,,,838667,3223040,0,0,0,958401,55790281,10894660,0,0,0,17941579,0,7783897,254238,43442,21997468,,118887006,119725673,137910,,137910,29953130,3412112,1889,1889,,,,,33505041,,,,,831984,,,,52685,884669,34389710,1403951,,,,,,810000,83122012,85335963,119725673
150130,890312374,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,364608,434124,0,172184,0,0,0,11140,,,,982056,4089449,0,0,0,0,,,,0,0,1941580,0,0,0,0,78613381,,84644410,85626466,0,0,0,292900,51668,0,,0,620857,,,965425,0,0,0,16907882,294,0,,,,16908176,17873601,22821,2182619,0,0,0,0,30595348,34952077,67752865,85626466
150130,890312374,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,642758,21483318,0,215615,0,0,750,140050,,,,22482491,4008940,0,0,0,0,0,0,0,0,0,766832,0,0,0,0,71558986,,76334758,98817249,0,0,0,18687704,357367,0,0,0,6098,,0,19051169,0,0,0,2059307,294,0,,,,2059601,21110770,22821,2182619,0,0,0,0,30595348,44905691,77706479,98817249
150143,901151772,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,1803803,2354390,12300,44485,,,,,,,,4214978,4399,,,,,,,,,,,,,,,,,4399,4219377,8950,,8950,275441,138490,,,,,,,422881,,,,843259,,,2114912,2114912,,2958171,3381052,50000,,,,,,6710,781615,838325,4219377
150143,901151772,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,2531536,1948192,299235,27886,,,,,,,,4806849,4049,,,,,,,,,,,,,,,,,4049,4810898,,,,402651,27668,,,,,,,430319,,,,,,,4263473,4263473,,4263473,4693792,50000,,,,,,,67106,117106,4810898
150169,900371613,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,178050,14160200,48451,,,,,1234746,,,,15621447,,,,,,,,,,,,,,,,,,,15621447,,,,10571354,346569,205438,205438,,76347,,,11199708,,,,1800000,,,,,508140,2308140,13507848,360000,98418,,,,,2400324,-745143,2113599,15621447
150169,900371613,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,3206,14320225,35827,0,0,0,,516805,,,,14876063,,0,,,,,,,,,,,,,,,,0,14876063,,,,10677957,88569,297117,297117,,,,,11063643,,,,1800000,,,,,502733,2302733,13366376,360000,98418,,,,,2400324,-1349055,1509687,14876063
150173,891801415,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,48518,4988842,,49527,,,,,,,,5086887,18084657,,,,,,,,,,,,,,1358776,,,19443433,24530320,,,,2842198,53892,195968,195968,,96293,,,3188351,,,,800000,,,,,308762,1108762,4297113,1999980,1032251,,,16218348,,999990,-17362,20233207,24530320
150173,891801415,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,32409,4745470,,55081,,,,,,,,4832960,18920263,,,,,,,,,,,,,,1358776,,,20279039,25111999,,,,2823587,25365,488121,488121,,106950,,,3444023,,,,1200000,,,,,308101,1508101,4952124,1999980,1032251,,,16218348,,999990,-90694,20159875,25111999
150175,800129316,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,81273,226607,,,,,3707,,,,,311587,25965,1539395,,,2366,71369,,,,,,,206838,,250000,47400,,2143333,2454920,26830,,26830,15454,83914,10378,10378,,,,,136576,,,,,,,5628,5628,,5628,142204,9000,,,,,21370,4500,2277846,2312716,2454920
150175,800129316,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,80984,315210,,,,,15013,,,,,411207,40818,1570052,,,3550,,,,,,,,197069,,,97400,,1908889,2320096,23408,,23408,15047,46969,7140,7140,,,,,92564,,,,,,,18639,18639,,18639,111203,9000,,,,,,4500,2195393,2208893,2320096
150184,804014274,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,31170,11838,,,,,,,,,,43008,301278,,144234,,,,8824985,,,,1286448,,,,728167,2686992,,13972104,14015112,26329,,26329,546,8802,,,,,,,35677,,,,,148062,,478202,,2585645,3211909,3247586,940000,2217770,,,,,470000,7139756,10767526,14015112
150184,804014274,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,11711,19345,,,,,,,,,,31056,311772,,144234,,,,8824985,,,,1691136,,,,728167,2686992,,14387286,14418342,22343,,22343,24541,51483,,,,,,,98367,,,,,148062,,599591,,2607645,3355298,3453665,940000,2217770,,,,,470000,7336907,10964677,14418342
150192,900619657,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,684478,578550,0,1193305,,,,71207,,,,2527540,,,,,,,,,,,,,,,,195160,,195160,2722700,,567042,567042,1344653,1021,,,,1334430,,,3247146,,,,,,,,,,,3247146,10000,,,3104707,,,5000,-3644153,-524446,2722700
150192,900619657,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,569168,2142192,0,1177956,,,,71207,,,,3960523,,,,,,,,,,,,,,,,195160,,195160,4155683,,343861,343861,2998054,5812,,,,1373714,,,4721441,,,,,,,,,,,4721441,10000,,,3104707,,,5000,-3685465,-565758,4155683
150195,800194752,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,1469144,2352098,,,,,,,,,,3821242,22178778,,,,,,380000,,,,,,,,,4983843,,27542621,31363863,,,,214272,82612,4017726,4017726,,,,,4314610,,,,2799236,4649046,,,,,7448282,11762892,399586,2467100,,,,,112223,16622062,19600971,31363863
150195,800194752,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,2731270,2160272,,,,,,,,,,4891542,22469248,,,,,,380000,,,,,,,,,3543842,,26393090,31284632,,,,136082,26839,4179662,4179662,,,,,4342583,,,,2799235,4765666,,,,,7564901,11907484,399586,2467100,,,,,112223,16398239,19377148,31284632
150288,900267689,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,87,1299192,,,,,,,,,,1299279,,,11874601,,,,1435000,,,,,,,,,,,13309601,14608880,,,,22540,302310,,,,,,,324850,,,,,1154094,,,,,1154094,1478944,200000,791262,,,,,45400,12093274,13129936,14608880
150288,900267689,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,61814,896475,,,,,,,,,,958289,,,11874601,,,,1435000,,,,,,,,,,,13309601,14267890,,,,350863,96839,,,,,,,447702,,,,,1154094,,,,,1154094,1601796,200000,791262,,,,,28967,11645865,12666094,14267890
150296,860072491,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,1907313,2769599,,,,,1000000,50748,,,,5727660,,,6863668,,,,1332763,,,,1640386,,,,2233349,,,12070166,17797826,,,,,2696,1792840,1792840,,,,,1795536,,,,,65271,,1935727,1935727,,2000998,3796534,84000,,,,,,12827031,1090261,14001292,17797826
