Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Estado Verificación,Periodo,Ganancia (pérdida),"Otro resultado integral, neto de impuestos, diferencias de cambio por conversión","Otro resultado integral, neto de impuestos, ganancias (pérdidas) actuariales por planes de beneficios definidos","Otro resultado integral, neto de impuestos, ganancias (pérdidas) por revaluación","Total otro resultado integral que no se reclasificará al resultado del periodo, neto de impuestos","Ganancias (pérdidas) por coberturas de flujos de efectivo, neto de impuestos","Total otro resultado integral que se reclasificará al resultado del periodo, neto de impuestos","Participación de otro resultado integral de subsidiarias, asociadas y negocios conjuntos contabilizados utilizando el método de la participación que se reclasificará al resultado del periodo, neto de impuestos",Total otro resultado integral,Resultado integral total
150093,890917119,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,17436812,,,,,,,,,
150112,800002818,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-11956365,0,0,0,0,0,0,,0,-11956365
150112,800002818,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-6821382,,,,,,,,,
150130,890312374,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-2744104,,,,,,,,,
150130,890312374,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,28977131,,,,,,,,,
150143,901151772,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,721219,,,,,,,,,721219
150143,901151772,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,67106,,,,,,,,,67106
150169,900371613,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,603912,,,,,,,,,
150169,900371613,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-1349055,,,,,,,,,
150173,891801415,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,73332,,,,,,,,,
150173,891801415,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-90694,,,,,,,,,
150175,800129316,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,82453,,,21370,21370,,,,21370,103823
150175,800129316,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,64280,,,,,,,,,64280
150184,804014274,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-197151,,,,,,,,,-197151
150184,804014274,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,49443,,,,,,,,,49443
150192,900619657,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,41312,,,,,,,,,
150192,900619657,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,469481,,,,,,,,,
150195,800194752,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,223823,0,0,0,0,0,0,,0,223823
150195,800194752,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,94664,,,,,,,,,
150288,900267689,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,463842,,,,,,,,,463842
150288,900267689,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,164326,,,,,,,,,164326
150296,860072491,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,332849,,,,,,,,,
150296,860072491,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,238754,,,,,,,,,
150301,860528096,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-272454,,,,,,,,,
150301,860528096,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-4148288,,,,,,,,,
150311,900365409,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1275035,,,,,,,,,1275035
150311,900365409,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-995310,,,,,,,,,-995310
150381,830138169,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,709380,,,,,,,,339614,1048994
150381,830138169,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,295549,,,,,,,,,295549
150394,830080611,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-286376,,,,,,,,,
150394,830080611,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-219809,,,,,,,,,
150404,860027143,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,49339,,,,,,,,,
150404,860027143,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-220561,,,,,,,,,
150411,830506608,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,283442,,,,,,,,130589,414031
150411,830506608,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,570228,,,,,,,,112411,682639
150415,860072492,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-163124,,,,,,,,,
150415,860072492,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,40465,,,,,,,,,
150452,860521601,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1838588,0,0,0,0,0,0,,0,1838588
150452,860521601,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,21622,0,0,0,0,0,0,,0,21622
150586,860067949,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,84107,,,,,,,,,
150586,860067949,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-2079310,,,,,,,,,
150643,891904303,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,302831,,,,,,,,,
150643,891904303,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,262351,,,,,,,,,
150687,900470587,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,201852,,,,,,,,,
150687,900470587,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-481724,,,,,,,,,
150700,832002204,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,735138,,,,,,,,,735138
150700,832002204,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,875488,,,,,,,,,875488
150791,830047411,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3116103,,,,,,,,,
150791,830047411,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2627086,,,,,,,,,
150830,900438410,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1282304,,,,,,,,,
150830,900438410,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1366883,,,,,,,,,
150839,800207932,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1829128,0,0,0,0,0,0,,0,1829128
150839,800207932,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-1618513,0,0,0,0,0,0,,0,-1618513
150841,805001306,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1222660,,,,,,,,,
150841,805001306,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1504994,,,,,,,,,
150843,900062979,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1312668,,,,,,,,,
150843,900062979,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2495215,,,,,,,,,
150866,860402618,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,705497,,,,,,,,,
150866,860402618,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1338254,,,,,,,,,
150873,819005874,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1939456,,,,,,,,,1939456
150873,819005874,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,325690,,,,,,,,,325690
150892,860350005,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,10531261,,,,,,,,,
150892,860350005,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,31187051,,,,,,,,,
150940,830146669,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,174826,,,,,,,,,
150940,830146669,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,252131,,,,,,,,,
150962,900770027,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2344171,,,-358457,-358457,,,,-358457,1985714
150962,900770027,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,910359,,,1362290,1362290,,,,1362290,2272649
150974,811024630,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-437106,,,,,,,,,-437106
150974,811024630,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-556381,,,,,,,,,-556381
150979,900328866,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,55769,0,0,0,0,0,0,,0,55769
150979,900328866,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,17701,,,,,,,,,
151166,830119208,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,72060,,,,,,,,,72060
151166,830119208,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,238888,,,,,,,,,238888
151168,830119224,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-20143,0,,,0,,,,0,-20143
151168,830119224,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,293249,,,,,,,,,
151172,900525002,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-275303,,,,,,,,,
151172,900525002,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-63476,,,,,,,,,
151187,830127783,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-2536070,,,,,,,,2311883,-224187
151187,830127783,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,571582,,,,,,,,,571582
151202,824006708,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-1090756,,,,,,,,,
151202,824006708,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,143501,,,,,,,,,
151221,890403012,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2423519,0,0,0,0,0,0,,0,2423519
151221,890403012,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2124055,0,0,0,0,0,0,,0,2124055
151253,860048210,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-51283,,,,,,,,,
151253,860048210,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-1069636,,,,,,,,,
151308,900076109,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,231803,,,,,,,,,
151308,900076109,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-841484,,,,,,,,,
151313,800068234,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1639688,19437,,,19437,,,,19437,1659125
151313,800068234,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1772563,55051,,,55051,,,,55051,1827614
151322,900796115,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,171540,,,,,,,,,
151322,900796115,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,138580,,,,,,,,,
151332,800210734,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1165831,,,,,,,,,
151332,800210734,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,669796,,,,,,,,,
151409,900130852,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3349391,,,,,,,,,3349391
151409,900130852,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1067464,,,,,,,,,1067464
151425,900495003,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-32447,0,0,0,0,0,0,,0,-32447
151425,900495003,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,44384,0,0,0,0,0,0,,0,44384
151505,800043202,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,362845,,,,,,,,,362845
151505,800043202,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,438231,,,,,,,,,438231
151514,890931636,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2303252,,,,,,,,,
151514,890931636,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,362981,,,,,,,,,
151531,800113011,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-278494,,,,,,,,,
151531,800113011,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-1192275,,,,,,,,,
151554,860507248,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1014392,0,0,0,0,0,0,,0,1014392
151554,860507248,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,953277,,,,,,,,,
151578,830512616,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-381665,,,,,,,,,
151578,830512616,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,382559,,,,,,,,,
151597,900370025,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,181116,,,,,,,,,
151597,900370025,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-3782624,,,,,,,,,
151656,900356107,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3211070,,,,,,,,,3211070
151656,900356107,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2776388,,,,,,,,,2776388
151675,900353867,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,360642,,,,,,,,,360642
151675,900353867,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-163661,,,,,,,,,-163661
151731,900356028,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,180475,,,,,,,,,
151731,900356028,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,30380,,,,,,,,,
151755,860068255,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2233450,,,,,59848,59848,,59848,2293298
151755,860068255,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2407768,,,,,15150,15150,,15150,2422918
151793,830061474,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,9711885,0,,,0,,,,0,9711885
151793,830061474,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,3946011,0,,,0,,,,0,3946011
151794,800168533,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3342062,,,,,,,,,
151794,800168533,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2806020,,,,,,,,,
151820,900624440,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-1111466,0,0,0,0,0,0,,0,-1111466
151820,900624440,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,6190217,0,0,0,0,0,0,,0,6190217
151823,900724947,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,164630,,,,,,,,,
151823,900724947,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,68046,,,,,,,,,
151851,800031524,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,168951,,,,,,,,,
151851,800031524,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-237896,,,,,,,,,
151887,800157021,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1351956,,,,,,,,0,1351956
151887,800157021,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1844054,,,,,,,,0,1844054
151915,860502327,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,121407,0,,,0,,,,0,121407
151915,860502327,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,590262,0,,,0,,,,0,590262
151935,900071212,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,107622,0,0,0,0,0,0,,0,107622
151935,900071212,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,85276,0,0,0,0,0,0,,0,85276
151936,830026921,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-79938,0,0,0,0,0,0,,0,-79938
151936,830026921,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,339848,0,0,0,0,0,0,,0,339848
151978,900059812,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,4879684,0,0,0,0,0,0,,0,
151978,900059812,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2190670,,,,,,,,,
151992,900189197,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1366817,,,,,,,,,
151992,900189197,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,8328424,,,,,,,,,
152032,890300208,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3360429,,,,,-1725633,,,-1725633,1634796
152032,890300208,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,629841,,,,,623380,,,623380,1253221
152035,890107433,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,110915,,,-247659,-247659,,,,-247659,-136744
152035,890107433,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,122975,,,134824,134824,,,,134824,257799
152037,860501651,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-660889,,,,,,,,48217,-612672
152037,860501651,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-718614,,,,,,,,,-718614
152060,900806708,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2084642,,,,,,,,,
152060,900806708,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-1403737,,,,,,,,,
152067,890905686,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,10803179,,,965254,965254,,,,965254,11768433
152067,890905686,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,9621399,,,,-4380421,,,,-4380421,5240978
152091,811000328,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,112079570,,,,,,,,,112079570
152091,811000328,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,3559360,,,,,,,,,3559360
152136,830116311,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,251161,,,767959,767959,,,,767959,1019120
152136,830116311,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,8028577,,,,,,,,,8028577
152152,900623029,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-7335,0,,,0,,,,0,-7335
152152,900623029,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-7812,0,,,0,,,,0,-7812
152156,890106364,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-27925,,,,,,,,,
152156,890106364,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-21562,,,,,,,,,
152202,900626402,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-264648,,,,,,,,,
152202,900626402,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-77317,,,,,,,,,
152226,800142931,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-5563,0,0,0,0,0,0,,0,-5563
152226,800142931,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-180363,0,0,0,0,0,0,,0,-180363
152238,830058737,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2257144,,,,,,,,,2257144
152238,830058737,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1411029,,,,,,,,,1411029
152243,900485025,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,67439,,,,,,,,,
152243,900485025,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-951933,,,,,,,,,
152248,900484728,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,9074185,,,,,,,,,9074185
152248,900484728,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,4914669,,,,,,,,,4914669
152310,900438232,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,5867860,,,68654938,68654938,,,,68654938,74522798
152310,900438232,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,30813639,,,-109782690,-109782690,,,,-109782690,-78969051
152360,830068550,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1111549,,,,,,,,,
152360,830068550,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,402983,,,,,,,,,
152401,800034638,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,297656,,,-861651,-861651,,,,-861651,-563995
152401,800034638,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,306651,,,,,,,,,306651
152461,890103075,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2824510,,,,,,,,,2824510
152461,890103075,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1368648,,,,,,,,,1368648
152463,900295495,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,79277,,,,,,,,,79277
152463,900295495,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-558228,,,,,,,,,-558228
152476,900599747,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,886906,0,0,0,0,0,0,,0,886906
152476,900599747,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,608158,0,0,0,0,0,0,,0,608158
152477,890905032,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-6310137,,,,,,,,,-6310137
152477,890905032,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-1939205,,,,,,,,,-1939205
152523,860503363,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2774573,,,,,,,,,
152523,860503363,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-221661,,,,,,,,,
152583,900261925,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,8852585,,,,,,,,,
152583,900261925,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,-2327050,,,,,,,,,
152591,800199514,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,26465814,5933295,,-297146,5636149,,,,5613246,32079060
152591,800199514,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,26572861,-4275519,,,-4275519,,,,-4265527,22307334
152613,890919322,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-476987,0,0,0,0,0,0,,0,-476987
152613,890919322,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,125975,0,0,0,0,0,0,,0,125975
152618,900481195,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2001795,,,,,,,,,
152618,900481195,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1583770,,,,,,,,,
152624,800188715,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,50133,,,,,,,,,50133
152624,800188715,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,53350,,,,,,,,,53350
152647,900482962,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,6599,,,,,,,,,6599
