Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Se reunió el Máximo Órgano Social para considerar los estados financieros,Valor de las utilidades decretadas en miles de pesos (ejercicio inmediatamente anterior),Razón social de la sociedad,Objeto social principal,Clasificación Industrial Internacional Uniforme Versión 4 A.C,Corte de cuentas según estatutos,Fecha de constitución (Aaaa-Mm-Dd),Fecha de vencimiento (Aaaa-Mm-Dd),Estado actual,Tipo societario,La sociedad es,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección de notificación judicial,Ciudad de la dirección de notificación judicial,Dirección del domicilio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Teléfono del domicilio,Celular corporativo,E-mail de la sociedad,Matricula mercantil número,Domicilio casa matriz sucursal de sociedad extranjera,País del domicilio casa matriz sucursal de sociedad extranjera,La compañía está obligada a tener Revisor fiscal?,El Revisor fiscal pertenece a una firma?,A que firma pertenece el Revisor Fiscal?,Los estados finacieros estan acompañados del dictamen del revisor fiscal?,Concepto del Revisor fiscal en su informe,Estos estados financieros presentan información reexpresada?,La información reexpresada corresponde a:,Reexpresión según normatividad que aplique,"La Entidad posee inversiones en subsidiarias, asociadas y/o negocios conjuntos?"
149708,900233101,12/31/2019,50 NIIF Pymes - Separados,Si,,CEMENTOS SAN MARCOS SAS,PRODUCCION Y COMERCIALIZACION DE CEMENTO,"C2394 - Fabricación de cemento, cal y yeso",01. ANUAL,7/1/2008,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,KM 24 VIA PANORAMA CALI BUGA CORREGIMIENTO SAN MARCOS ,VALLE,YUMBO-VALLE,KM 24 VIA PANORAMA CALI BUGA CORREGIMIENTO DE SAN MARCOS,VALLE,YUMBO-VALLE,4850310,3176473923,fmolina@csmsa.co,745153-16,,,Si,Si,MILLAN Y ASOCIADOS S.A.,Si,03. LIMPIO,No,,,Si
149753,901135250,12/31/2019,50 NIIF Pymes - Separados,No,,INVERSIONES JFRB S A S,INVERSION EN PRODUCTOS FINANCIEROS,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. ANUAL,9/30/2017,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CALLE 94 A NO 11 A 27 PISO 6,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,CALLE 94 A No 11 A 27 PISO 6,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,6224173,3115916778,yazdonme@hotmail.com,2895467,,,No,,,,,No,,,Si
149761,800243310,12/31/2019,50 NIIF Pymes - Separados,Si,,URBANIZADORA TERUEL SAS, Urbanizar Terrenos y cualquier Actividad Licita ,F4111 - Construcción de edificios residenciales,01. ANUAL,9/20/1994,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES, CR 9  2 10 Parcelacion Cinturon Verde  Km 9 Via ,ANTIOQUIA,MEDELLIN-ANTIOQUIA, CR 9  2 10 Parcelacion Cinturon Verde  Km 9 Via ,ANTIOQUIA,MEDELLIN-ANTIOQUIA,5609600,3116307404, juridica@constructoradeobras.com,21-191639-12,,,Si,Si,ASESORES ASOCIADOS LTDA,Si,03. LIMPIO,No,,,Si
149764,900120377,12/31/2019,50 NIIF Pymes - Separados,Si,,HERSAGO UNO SAS,"LA INVERSION CON CARACTER DE ACTIVOS INMOVILIZADOS PERO SIN PERJUICIO DE PODERLOS ENAJENAR PARA CAMBIAR DE INVERSION DE TODA CLASE DE BIENES INMUEBLES Y MUEBLES ""   ","K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. ANUAL,9/25/2006,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CLl 70 9 36,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,CL 70 9 36,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,7443531,3204990943,paula.ovalle@cosargo.com.co ,2063144,,,Si,Si,CORREDOR & ASOCIADOS LTDA ,Si,03. LIMPIO,No,,,Si
149858,900444217,12/31/2019,50 NIIF Pymes - Separados,Si,,ACR CONSTRUCTORA SAS,"EL OBJETO SOCIAL DE LA SOCIEDAD SERÁ EL DESARROLLO DE TODAS AQUELLAS ACTIVIDADES COMERCIALES Y/O CIVILES QUE SEAN LÍCITAS DE CONFORMIDAD CON LA LEY COLOMBIANA PERO PRINCIPALMENTE: A) ADQUISICIÓN Y ENAJENACIÓN POR CUALQUIER TÍTULO DE BIENES INMUEBLES Y EL DESARROLLO DE LOS MISMOS, CONSTRUCCIÓN, URBANIZACIÓN, PARCELACIÓN, Y EN GENERAL REALIZAR ACTIVIDADES SOBRE LOS MISMOS, DIRECTAMENTE O A TRAVÉS DE TERCEROS, ASÍ COMO VENDERLOS Y DARLOS EN ARRENDAMIENTO. B) LA CONSTRUCCIÓN DE TODO TIPO DE EDIFICACIONES, URBANIZACIONES Y OBRAS PÚBLICAS Y PRIVADAS POR CUENTA PROPIA O AJENA, INCLUYENDO DE FORMA NO LIMITATIVA: LOS MOVIMIENTOS DE TIERRA, PERFORACIONES, DESMONTES Y VACIADOS, EXPLANACIONES, CANTERAS, POZOS Y GALERÍAS Y TÚNELES, ASÍ COMO PUENTES, Y DEMÁS CONSTRUCCIONES EN CUALQUIER MATERIAL.",F4111 - Construcción de edificios residenciales,01. ANUAL,6/20/2011,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CALLE 125 # 19 -89 OF 502,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,CALLE 125 # 19 -89 OF 502,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,6584872,3144869829,legal@acrconstructora.co,2110500,,,Si,Si,CR BUREAU PARTNERS SAS,Si,03. LIMPIO,No,,,Si
149895,860076008,12/31/2019,50 NIIF Pymes - Separados,Si,,PARQUE INDUSTRIAL MALAMBO S.A.,"PROMOCION,PRESTAC DE SERVICIOS Y APOYO A LA GESTION PRODUCTIVA DEL CONJUNTO DE EMPRESAS MANUFACTURERAS O AGROINDUSTRIALES, UBICADAS EN EL AREA, CONTRIBUIR A UNA MEJOR PLANEACION AMBIENTAL, CONSTRUCCION Y DISEÑO DE NAVES INDUSTRIALES,SERVICIOS DE CONSTRUCCION,ARRENDAMIENTO DE BIENES INMUEBLES Y MUEBLES",L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,01. ANUAL,4/23/1980,4/23/2030,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,KM 3 VIA MALAMBO SABANAGRANDE,ATLANTICO,MALAMBO-ATLANTICO,KM 3 VIA MALAMBO SABANAGRANDE,ATLANTICO,MALAMBO-ATLANTICO,3478500,3158991055,gerencia@parqueindustrialmalambo.com,39290,,,Si,Si,SANTIAGO Y CHOPERENA AUDITORES SAS,Si,03. LIMPIO,No,,,Si
149935,900357074,12/31/2019,50 NIIF Pymes - Separados,Si,118277,INVERSIONES FAJARDO SANCHEZ SCA,6810,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,01. ANUAL,1/1/2019,12/31/2019,ACTIVA,05. SOCIEDAD EN COMANDITA POR ACCIONES,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,INVERSIONES FAJARDO SANCHEZ SCA,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,INVERSIONES FAJARDO SANCHEZ SCA,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,6137425,3105841777,inversionesfajardosanchez@gmail.com,1989541,,,Si,No,,Si,03. LIMPIO,No,,,Si
150001,804006377,12/31/2019,50 NIIF Pymes - Separados,Si,,PRAVIA S.A.S  ,CULTIVO DE PALMA AFRICANA ,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,01. ANUAL,8/19/1998,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CALLE 40 #28A 24 OFICINA 1  ED COOPMAGISTERIO V  ,SANTANDER,BUCARAMANGA-SANTANDER,CALLE 40 #28A 24 OFICINA 1  ED COOPMAGISTERIO V  ,SANTANDER,BUCARAMANGA-SANTANDER,6326176,3174303042,praviasa@gmail.com ,05-069365-16 ,,,Si,No,,Si,03. LIMPIO,No,,,Si
150044,900185065,12/31/2019,50 NIIF Pymes - Separados,No,,ISMAEL FRANCO Y CIA S EN C ,ACTIVIDADES PROPIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS,L6820 - Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,01. ANUAL,9/28/2007,12/31/2019,ACTIVA,05. SOCIEDAD EN COMANDITA POR ACCIONES,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CL 26 N 52A - 55 SUR ,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,CL 26 N 52a 55 sur ,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,7281730,3104814926,avicolafranaves@yahoo.com,1743812.0,,,Si,No,,,,No,,,Si
150047,900385903,12/31/2019,50 NIIF Pymes - Separados,Si,,SOLINVER S.A.S.,REALIZACION DE CUALQUIER ACTO LICITO DE COMERCIO,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,01. ANUAL,9/1/2010,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CR 43B 16 95 OF 911,ANTIOQUIA,MEDELLIN-ANTIOQUIA,CR 43B 16 95 OF 911,ANTIOQUIA,MEDELLIN-ANTIOQUIA,6051013,3108281270,mcramirez@jcr.com.co,2157337012,,,No,,,,,No,,,Si
150056,900186312,12/31/2019,50 NIIF Pymes - Separados,Si,,TORRES SEPULVEDA INGENIERIA & CIA S EN C,EXTRACCION MINERA,"B0811 - Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",01. ANUAL,11/26/2007,11/26/2027,ACTIVA,04. SOCIEDAD EN COMANDITA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CRA 8 30 - 42 AP 505,CUNDINAMARCA,NILO-CUNDINAMARCA,MINA CERRO ALTO VDA LA ESMERALDA,CUNDINAMARCA,NILO-CUNDINAMARCA,8366606,3132072773,gerencia@tsingenieria.com,51751,,,Si,No,,Si,03. LIMPIO,No,,,Si
150087,900761148,12/31/2019,50 NIIF Pymes - Separados,No,,INVESCASA S.A.S.,NTERVENIR COMO ASOCIADA EN SOCIEDADES.REALIZACION DE CUALQUIER ACTIVDAD LICITA.ADQUIRIR Y ENAJAR BIENES MUEBLES E INMUEBLES,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. ANUAL,7/17/2014,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CARRERA 38 # 51-59 APTO.801 EDIFICIO BOCAMONTE,SANTANDER,BUCARAMANGA-SANTANDER,CARRERA 38 #51-59 APTO 801 EDIFICIO BOCAMONTE,SANTANDER,BUCARAMANGA-SANTANDER,6577308,3168757453,BBUTOS@UNISAN.COM.CO,05-303427-16,,,Si,No,,Si,03. LIMPIO,No,,,Si
150093,890917119,12/31/2019,50 NIIF Pymes - Separados,Si,,MYCRA S.A.S,VENTA DE PALMA AFRICANA Y OTRAS ACTIVIDADES ,A0210 - Silvicultura y otras actividades forestales,01. ANUAL,7/9/1976,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,juridica@constructoradeobras.com,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"CRA 9  2 10 PARCELACION CINTURON VERDE, VIA LAS PALMAS -KM 9",ANTIOQUIA,MEDELLIN-ANTIOQUIA,5609600,3116307404,juridica@constructoradeobras.com,21-029957-12,,,Si,No,,Si,03. LIMPIO,No,,,Si
150112,800002818,12/31/2019,50 NIIF Pymes - Separados,No,,CARBONES DE LOS ANDES SA EN REORGANIZACION,"OTRAS ACTIVIDADES DE SERVICIO FINANCIERO, EXCEPTO LAS DE SEGUROS Y PENSIONES N.C.P.","K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. ANUAL,3/11/1987,3/11/2067,ACUERDO DE REORGANIZACION,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CR 10 14 62,CESAR,VALLEDUPAR-CESAR,CR 10 14 62,CESAR,VALLEDUPAR-CESAR,5711506,3126702627,gerencia@carboandes.com.co,26987,,,Si,Si,ACOSTA Y ACEVEDO ASOCIADOS LTDA,Si,03. LIMPIO,No,,,Si
150130,890312374,12/31/2019,50 NIIF Pymes - Separados,Si,,INVERSIONES ALTOBELO SAS,CUALQUIER ACTIVIDAD LICITA,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,02. SEMESTRAL,12/19/1977,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,AV 6 A BIS # 35N 100 OFC 802,VALLE,CALI-VALLE,AV 6A BIS # 35N 100 OFC802,VALLE,CALI-VALLE,6686693,3126010795,apulido@fanalca.com,51452-16,,,Si,No,,Si,03. LIMPIO,No,,,Si
150143,901151772,12/31/2019,50 NIIF Pymes - Separados,Si,,ILH INGENIERIA S.A.S.,CONSTRUCCION DE OBRAS CIVILES,F4290 - Construcción de otras obras de ingeniería civil,01. ANUAL,1/29/2018,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,TV 9 Nro.29-130 CC LAS PALMAS LC 218,MAGDALENA,SANTA-MARTA-MAGDALENA,TV 9 Nro.29-130 CC LAS PALMAS LC 218,MAGDALENA,SANTA-MARTA-MAGDALENA,4225280,3043768932,mayerlis8@hotmail.com,198208,,,Si,No,,Si,03. LIMPIO,No,,,Si
150169,900371613,12/31/2019,50 NIIF Pymes - Separados,No,,INVERSIONES MEDICAS DE LOS ANDES S.A.S ,PRESTACION DE SERVICIOS DE SALUD CON INTERNACION ,"Q8610 - Actividades de hospitales y clínicas, con internación",01. ANUAL,6/30/2010,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,TV 11 30 61,BOYACA,TUNJA-BOYACA,TV  11 30 61,BOYACA,TUNJA-BOYACA,7446060,3115542645,contableinversionesmedicas@gmail.com ,106140,,,Si,Si,PRIETOS Y CIA S.A.,Si,03. LIMPIO,No,,,Si
